,WikidataID,authorid,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
2327,,ThorinusAN,,ThorinusAN,True,,,,Litterturbanken_only
2328,,ThraneL,,ThraneL,True,,,,Litterturbanken_only
2329,,ThygesenL,,ThygesenL,True,,,,Litterturbanken_only
2330,,Thyillos,,Thyillos,True,,,,Litterturbanken_only
2331,,TidströmK,,TidstromK,True,,,,Litterturbanken_only
2332,,TroiliusJ,,TroiliusJ,True,,,,Litterturbanken_only
2333,,TurseniusL,,TurseniusL,True,,,,Litterturbanken_only
2334,,TörnbohmM,,TornbohmM,True,,,,Litterturbanken_only
2335,,TörnerJJ,,TornerJJ,True,,,,Litterturbanken_only
2336,,UlrichFDD,,UlrichFDD,True,,,,Litterturbanken_only
2337,,UndhagenCG,,UndhagenCG,True,,,,Litterturbanken_only
2338,,VapaavuoriA,,VapaavuoriA,True,,,,Litterturbanken_only
2339,,VederhusI,,VederhusI,True,,,,Litterturbanken_only
2340,,VictorinH,,VictorinH,True,,,,Litterturbanken_only
2341,,VilhelmsenI,,VilhelmsenI,True,,,,Litterturbanken_only
2342,,WadstenCF,,WadstenCF,True,,,,Litterturbanken_only
2343,,WahlgrenV,,WahlgrenV,True,,,,Litterturbanken_only
2344,,WahlströmM,,WahlstromM,True,,,,Litterturbanken_only
2345,,WalckeSH,,WalckeSH,True,,,,Litterturbanken_only
2346,,WallE,,WallE,True,,,,Litterturbanken_only
2347,,WallbergJ,,WallbergJ,True,,,,Litterturbanken_only
2348,,WalraffJG,,WalraffJG,True,,,,Litterturbanken_only
2349,,WeigelC,,WeigelC,True,,,,Litterturbanken_only
2350,,WennerdahlWA,,WennerdahlWA,True,,,,Litterturbanken_only
2351,,WestermanA,,WestermanA,True,,,,Litterturbanken_only
2352,,WisockiHochmuthL,,WisockiHochmuthL,True,,,,Litterturbanken_only
2353,,WretöT,,WretoT,True,,,,Litterturbanken_only
2354,,ZimmermanCA,,ZimmermanCA,True,,,,Litterturbanken_only
2355,,ZinkPN,,ZinkPN,True,,,,Litterturbanken_only
2356,,Zonas,,Zonas,True,,,,Litterturbanken_only
2357,,ÖbergLT,,ObergLT,True,,,,Litterturbanken_only
2358,,OhmanFA,,OhmanFA,True,,,,Litterturbanken_only
