,index,WD,SvenskaAkademin,wdReplace,wdReplaceBy,wdStart,wdEnd,wdOrdinal,chairOrder,SvChair,SvStart,SvEnd,wdEndDate,orderNumber,replacedByWD,newWDChair,replaceWD
31,191,Q949175,allen-sture,Q949175,Q949175,1986-01-01,1999-01-01 00:00:00+00:00,14,,3,1980-12-20,,1999-01-01,10,Q949175,Q96600298,Q2487226
32,192,Q949175,allen-sture,Q949175,Q949175,1980-12-20,,10,3,3,1980-12-20,,,11,,Q96600298,Q949175
33,55,Q543195,kellgren-johan-henric,Q543195,Q543195,1786-04-05,1795-04-20 00:00:00+00:00,1,4,4,1786-04-05,1795-04-20,1795-04-20,1,Q655653,Q96600304,
34,63,Q655653,stenhammar-johan,Q655653,Q655653,1798-03-14,1799-01-31 00:00:00+00:00,2,4,4,1798-03-14,1799-01-31,1799-01-31,2,Q5733074,Q96600304,Q543195
35,92,Q5733074,fleming-claes,Q5733074,Q5733074,1799-11-23,1831-05-12 00:00:00+00:00,3,4,4,1799-11-23,1831-05-12,1831-05-12,3,Q345654,Q96600304,Q655653
36,30,Q345654,agardh-carl-adolph,Q345654,Q345654,1834-08-22,1859-01-28 00:00:00+00:00,4,4,4,1834-08-22,1859-01-28,1859-01-28,4,Q321521,Q96600304,Q5733074
37,21,Q321521,carlson-fredrik,Q321521,Q321521,1861-03-19,1887-03-18 00:00:00+00:00,5,4,4,1861-03-19,1887-03-18,1887-03-18,5,Q6083461,Q96600304,Q345654
38,121,Q6083461,rundgren-herman,Q6083461,Q6083461,1887-12-20,1906-09-19 00:00:00+00:00,6,4,4,1887-12-20,1906-09-19,1906-09-19,6,Q2940262,Q96600304,Q321521
39,161,Q2940262,afzelius-ivar,Q2940262,Q2940262,1908-02-15,1921-10-30 00:00:00+00:00,7,4,4,1908-02-15,1921-10-30,1921-10-30,7,Q2756080,Q96600304,Q6083461
40,158,Q2756080,hedberg-tor,Q2756080,Q2756080,1922-12-20,1931-07-13 00:00:00+00:00,8,4,4,1922-12-20,1931-07-13,1931-07-13,8,Q331173,Q96600304,Q2940262
41,27,Q331173,siwertz-sigfrid,Q331173,Q331173,1932-12-20,1970-11-26 00:00:00+00:00,9,4,4,1932-12-20,1970-11-26,1970-11-26,9,Q1806201,Q96600304,Q2756080
42,210,Q1806201,forssell-lars,Q1806201,Q1806201,1971-12-20,2007-07-26 00:00:00+00:00,10,4,4,1971-12-20,2007-07-26,2007-07-26,10,Q382714,Q96600304,Q331173
43,38,Q382714,olsson-anders,Q382714,Q382714,2018-04-13,,,,4,2008-12-20,,,11,Q382714,Q96600304,Q1806201
44,39,Q382714,olsson-anders,Q382714,Q382714,2018-06-01,2019-06-01 00:00:00+00:00,18,,4,2008-12-20,,2019-06-01,12,Q382714,Q96600304,Q382714
45,40,Q382714,olsson-anders,Q382714,Q382714,2008-12-20,,11,4,4,2008-12-20,,,13,,Q96600304,Q382714
46,102,Q5802535,hermansson-mattias-von,Q5802535,Q5802535,1786-04-05,1789-07-25 00:00:00+00:00,1,5,5,1786-04-05,1789-07-25,1789-07-25,1,Q5944497,Q96600314,
47,108,Q5944497,lehnberg-magnus,Q5944497,Q5944497,1790-03-17,1808-12-09 00:00:00+00:00,2,5,5,1790-03-17,1808-12-09,1808-12-09,2,Q1401658,Q96600314,Q5802535
48,205,Q1401658,lindblom-jacob,Q1401658,Q1401658,1809-07-08,1819-02-15 00:00:00+00:00,3,5,5,1809-07-08,1819-02-15,1819-02-15,3,Q930758,Q96600314,Q5944497
49,187,Q930758,rosenstein-fore-adlandet-aurivillius-carl-von,Q930758,Q930758,1820-04-10,1836-12-02 00:00:00+00:00,4,5,5,1820-04-10,1836-12-02,1836-12-02,4,Q151911,Q96600314,Q1401658
50,8,Q151911,berzelius-jacob,Q151911,Q151911,1837-12-20,1848-08-07 00:00:00+00:00,5,5,5,1837-12-20,1848-08-07,1848-08-07,5,Q6085718,Q96600314,Q930758
51,123,Q6085718,rydqvist-johan-erik,Q6085718,Q6085718,1849-12-20,1877-12-17 00:00:00+00:00,6,5,5,1849-12-20,1877-12-17,1877-12-17,6,Q3482506,Q96600314,Q151911
52,169,Q3482506,wisen-theodor,Q3482506,Q3482506,1878-12-20,1892-02-15 00:00:00+00:00,7,5,5,1878-12-20,1892-02-15,1892-02-15,7,Q6202417,Q96600314,Q6085718
53,134,Q6202417,soderwall-knut,Q6202417,Q6202417,1892-12-20,1924-05-30 00:00:00+00:00,8,5,5,1892-12-20,1924-05-30,1924-05-30,8,Q2190143,Q96600314,Q3482506
54,143,Q2190143,kock-axel,Q2190143,Q2190143,1924-12-20,1935-03-18 00:00:00+00:00,9,5,5,1924-12-20,1935-03-18,1935-03-18,9,Q5804013,Q96600314,Q6202417
55,103,Q5804013,hesselman-bengt,Q5804013,Q5804013,1935-12-20,1952-04-06 00:00:00+00:00,10,5,5,1935-12-20,1952-04-06,1952-04-06,10,Q6027049,Q96600314,Q2190143
56,117,Q6027049,olsson-henry,Q6027049,Q6027049,1952-12-20,1985-01-11 00:00:00+00:00,11,5,5,1952-12-20,1985-01-11,1985-01-11,11,Q935013,Q96600314,Q5804013
57,189,Q935013,malmqvist-goran,Q935013,Q935013,1985-12-20,2019-10-17 00:00:00+00:00,12,5,5,1985-12-20,2019-10-17,2019-10-17,12,,Q96600314,Q6027049
58,136,Q6244269,wingard-johan,Q6244269,Q6244269,1786-05-27,1818-01-12 00:00:00+00:00,1,6,6,1786-05-27,1818-01-12,1818-01-12,1,Q6001491,Q96600324,
59,114,Q6001491,morner-adolf,Q6001491,Q6001491,1819-03-02,1838-01-30 00:00:00+00:00,2,6,6,1819-03-02,1838-01-30,1838-01-30,2,Q490686,Q96600324,Q6244269
60,47,Q490686,grafstrom-anders,Q490686,Q490686,1840-05-26,1870-07-24 00:00:00+00:00,3,6,6,1840-05-26,1870-07-24,1870-07-24,3,Q4992658,Q96600324,Q6001491
61,80,Q4992658,dahlgren-fredrik,Q4992658,Q4992658,1871-12-20,1895-02-16 00:00:00+00:00,4,6,6,1871-12-20,1895-02-16,1895-02-16,4,Q46778,Q96600324,Q490686
62,173,Q46778,hildebrand-hans,Q46778,Q46778,1895-12-20,1913-02-02 00:00:00+00:00,5,6,6,1895-12-20,1913-02-02,1913-02-02,5,Q154759,Q96600324,Q4992658
63,9,Q154759,hedin-sven,Q154759,Q154759,1913-12-20,1952-11-26 00:00:00+00:00,6,6,6,1913-12-20,1952-11-26,1952-11-26,6,Q1356463,Q96600324,Q46778
64,202,Q1356463,selander-sten,Q1356463,Q1356463,1953-12-20,1957-04-08 00:00:00+00:00,7,6,6,1953-12-20,1957-04-08,1957-04-08,7,Q5795283,Q96600324,Q154759
65,100,Q5795283,hedberg-olle,Q5795283,Q5795283,1957-12-20,1974-09-20 00:00:00+00:00,8,6,6,1957-12-20,1974-09-20,1974-09-20,8,Q728197,Q96600324,Q1356463
66,67,Q728197,sundman-per-olof,Q728197,Q728197,1975-12-20,1992-10-09 00:00:00+00:00,9,6,6,1975-12-20,1992-10-09,1992-10-09,9,Q259238,Q96600324,Q5795283
67,13,Q259238,trotzig-birgitta,Q259238,Q259238,1993-12-20,2011-05-14 00:00:00+00:00,10,6,6,1993-12-20,2011-05-14,2011-05-14,10,Q2023775,Q96600324,Q728197
68,219,Q2023775,riad-tomas,Q2023775,Q2023775,2011-12-20,,11,6,6,2011-12-20,,,11,Q2023775,Q96600324,Q259238
69,220,Q2023775,riad-tomas,Q2023775,Q2023775,2016-01-26,2016-05-31 00:00:00+00:00,,,6,2011-12-20,,2016-05-31,12,,Q96600324,Q2023775
70,206,Q1453246,fersen-axel-von,Q1453246,Q1453246,1786-04-05,1794-04-24 00:00:00+00:00,1,7,7,1786-04-05,1794-04-24,1794-04-24,1,Q6176220,Q96600329,
71,129,Q6176220,silverstolpe-axel-gabriel,Q6176220,Q6176220,1795-03-04,1816-09-05 00:00:00+00:00,2,7,7,1795-03-04,1816-09-05,1816-09-05,2,Q5925848,Q96600329,Q1453246
72,106,Q5925848,kullberg-anders-af,Q5925848,Q5925848,1817-11-15,1851-05-06 00:00:00+00:00,3,7,7,1817-11-15,1851-05-06,1851-05-06,3,Q346056,Q96600329,Q6176220
73,31,Q346056,hagberg-carl-august,Q346056,Q346056,1852-05-18,1864-01-09 00:00:00+00:00,4,7,7,1852-05-18,1864-01-09,1864-01-09,4,Q6197780,Q96600329,Q5925848
74,133,Q6197780,svedelius-wilhelm-erik,Q6197780,Q6197780,1864-12-20,1889-02-26 00:00:00+00:00,5,7,7,1864-12-20,1889-02-26,1889-02-26,5,Q6092488,Q96600329,Q346056
75,124,Q6092488,sander-fredrik,Q6092488,Q6092488,1889-12-20,1900-05-30 00:00:00+00:00,6,7,7,1889-12-20,1900-05-30,1900-05-30,6,Q5755165,Q96600329,Q6197780
