,index,WD,SvenskaAkademin,wdReplace,wdReplaceBy,wdStart,wdEnd,wdOrdinal,chairOrder,SvChair,SvStart,SvEnd,wdEndDate,orderNumber,replacedByWD,newWDChair,replaceWD
139,132,Q6191926,strandberg-carl-gustaf,Q6191926,Q6191926,1869-12-20,1874-02-08 00:00:00+00:00,5,12,12,1869-12-20,1874-02-08,1874-02-08,7,Q5553419,Q96600377,Q6191926
140,85,Q5553419,anderson-anders,Q5553419,Q5553419,1875-12-20,1892-09-10 00:00:00+00:00,6,12,12,1875-12-20,1892-09-10,1892-09-10,8,Q156749,Q96600377,Q6191926
141,10,Q156749,nordenskiold-adolf,Q156749,Q156749,1893-12-20,1901-08-12 00:00:00+00:00,7,12,12,1893-12-20,1901-08-12,1901-08-12,9,Q640991,Q96600377,Q5553419
142,62,Q640991,retzius-gustaf,Q640991,Q640991,1902-06-20,1919-07-21 00:00:00+00:00,8,12,12,1902-06-20,1919-07-21,1919-07-21,10,Q2653181,Q96600377,Q156749
143,157,Q2653181,noreen-adolf,Q2653181,Q2653181,1919-12-20,1925-06-13 00:00:00+00:00,9,12,12,1919-12-20,1925-06-13,1925-06-13,11,Q887342,Q96600377,Q640991
144,180,Q887342,bergman-bo,Q887342,Q887342,1925-12-20,1967-11-17 00:00:00+00:00,10,12,12,1925-12-20,1967-11-17,1967-11-17,12,Q5957946,Q96600377,Q2653181
145,109,Q5957946,lindroth-sten,Q5957946,Q5957946,1968-12-20,1980-09-01 00:00:00+00:00,11,12,12,1968-12-20,1980-09-01,1980-09-01,13,Q126373,Q96600377,Q887342
146,2,Q126373,aspenstrom-werner,Q126373,Q126373,1981-12-20,1997-01-25 00:00:00+00:00,12,12,12,1981-12-20,1997-01-25,1997-01-25,14,Q1933369,Q96600377,Q5957946
147,214,Q1933369,wastberg-per,Q1933369,Q1933369,1997-12-20,,13,12,12,1997-12-20,,,15,,Q96600377,Q126373
148,88,Q5620980,gyllenborg-gustaf-fredrik,Q5620980,Q5620980,1786-04-05,1808-03-30 00:00:00+00:00,1,13,13,1786-04-05,1808-03-30,1808-03-30,1,Q333297,Q96600389,
149,28,Q333297,franzen-frans-michael,Q333297,Q333297,1811-11-27,1847-08-14 00:00:00+00:00,2,13,13,1811-11-27,1847-08-14,1847-08-14,2,Q333297,Q96600389,Q5620980
150,29,Q333297,franzen-frans-michael,Q333297,Q333297,1824-08-07,1834-01-01 00:00:00+00:00,2,,13,1811-11-27,1847-08-14,1834-01-01,3,Q5974210,Q96600389,Q333297
151,111,Q5974210,malmstrom-bernhard-elis,Q5974210,Q5974210,1850-12-18,1865-06-21 00:00:00+00:00,3,13,13,1850-12-18,1865-06-21,1865-06-21,4,Q5925873,Q96600389,Q333297
152,107,Q5925873,kullberg-carl,Q5925873,Q5925873,1866-05-29,1897-10-22 00:00:00+00:00,4,13,13,1866-05-29,1897-10-22,1897-10-22,5,Q5983833,Q96600389,Q5974210
153,112,Q5983833,melin-alfred,Q5983833,Q5983833,1898-12-20,1919-07-05 00:00:00+00:00,5,13,13,1898-12-20,1919-07-05,1919-07-05,6,Q491355,Q96600389,Q5925873
154,49,Q491355,osterling-anders,Q491355,Q491355,1941-01-01,1964-01-01 00:00:00+00:00,11,,13,1919-12-20,1981-12-13,1964-01-01,7,Q491355,Q96600389,Q5983833
155,50,Q491355,osterling-anders,Q491355,Q491355,1919-12-20,1981-12-13 00:00:00+00:00,6,13,13,1919-12-20,1981-12-13,1981-12-13,8,Q442031,Q96600389,Q491355
156,44,Q442031,vallquist-gunnel,Q442031,Q442031,1982-12-20,2016-01-11 00:00:00+00:00,7,13,13,1982-12-20,2016-01-11,2016-01-11,9,Q263017,Q96600389,Q491355
157,14,Q263017,stridsberg-sara,Q263017,Q263017,2016-12-20,2018-05-03 00:00:00+00:00,8,13,13,2016-12-20,2018-05-03,2018-05-03,10,Q2851296,Q96600389,Q442031
158,160,Q2851296,sward-anne,Q2851296,Q2851296,2019-12-20,,,13,13,2019-12-20,,,11,,Q96600389,Q263017
159,58,Q543935,armfelt-gustaf-mauritz,Q543935,Q543935,1807-11-23,1814-08-19 00:00:00+00:00,2,17,14,1786-05-13,1814-08-19,1814-08-19,1,Q543935,Q96600400,
160,59,Q543935,armfelt-gustaf-mauritz,Q543935,Q543935,1786-05-13,1814-08-19 00:00:00+00:00,1,14,14,1786-05-13,1814-08-19,1814-08-19,2,Q6062282,Q96600400,Q543935
161,118,Q6062282,ramel-malte,Q6062282,Q6062282,1802-04-30,1824-01-31 00:00:00+00:00,2,14,14,1802-04-30,1824-01-31,1824-01-31,3,Q380937,Q96600400,Q543935
162,37,Q380937,geijer-erik-gustaf,Q380937,Q380937,1826-01-15,1847-04-23 00:00:00+00:00,3,14,14,1826-01-15,1847-04-23,1847-04-23,4,Q15405,Q96600400,Q6062282
163,171,Q15405,fries-elias,Q15405,Q15405,1847-12-02,1878-02-08 00:00:00+00:00,4,14,14,1847-12-02,1878-02-08,1878-02-08,5,Q6019298,Q96600400,Q380937
164,116,Q6019298,nyblom-carl-rupert,Q6019298,Q6019298,1879-12-20,1907-05-30 00:00:00+00:00,5,14,14,1879-12-20,1907-05-30,1907-05-30,6,Q597713,Q96600400,Q15405
165,60,Q597713,hallstrom-per,Q597713,Q597713,1908-12-20,1960-02-18 00:00:00+00:00,6,14,14,1908-12-20,1960-02-18,1960-02-18,7,Q597713,Q96600400,Q6019298
166,61,Q597713,hallstrom-per,Q597713,Q597713,1931-01-01,1941-01-01 00:00:00+00:00,10,,14,1908-12-20,1960-02-18,1941-01-01,8,Q465251,Q96600400,Q597713
167,46,Q465251,josephson-ragnar,Q465251,Q465251,1960-12-20,1966-03-27 00:00:00+00:00,7,14,14,1960-12-20,1966-03-27,1966-03-27,9,Q921268,Q96600400,Q597713
168,185,Q921268,gyllensten-lars,Q921268,Q921268,1977-01-01,1986-01-01 00:00:00+00:00,13,,14,1966-12-20,2006-05-26,1986-01-01,10,Q921268,Q96600400,Q465251
169,186,Q921268,gyllensten-lars,Q921268,Q921268,1966-12-20,2006-05-26 00:00:00+00:00,8,14,14,1966-12-20,2006-05-26,2006-05-26,11,Q271314,Q96600400,Q921268
170,18,Q271314,lugn-kristina,Q271314,Q271314,2006-12-20,2020-05-09 00:00:00+00:00,9,14,14,2006-12-20,2020-05-09,2020-05-09,12,,Q96600400,Q921268
171,84,Q4993033,nordin-carl-gustaf,Q4993033,Q4993033,1786-05-13,1812-03-14 00:00:00+00:00,1,15,15,1786-05-13,1812-03-14,1812-03-14,1,Q6084610,Q96600412,
172,122,Q6084610,rutstrom-carl-birger,Q6084610,Q6084610,1813-12-02,1826-04-13 00:00:00+00:00,2,15,15,1813-12-02,1826-04-13,1826-04-13,2,Q2302669,Q96600412,Q4993033
173,147,Q2302669,valerius-johan-david,Q2302669,Q2302669,1826-11-29,1852-08-04 00:00:00+00:00,3,15,15,1826-11-29,1852-08-04,1852-08-04,3,Q4993034,Q96600412,Q6084610
174,82,Q4993034,manderstrom-ludvig,Q4993034,Q4993034,1853-12-20,1873-08-18 00:00:00+00:00,4,15,15,1853-12-20,1873-08-18,1873-08-18,4,Q4993034,Q96600412,Q2302669
175,83,Q4993034,manderstrom-ludvig,Q4993034,Q4993034,1869-01-01,1872-01-01 00:00:00+00:00,4,,15,1853-12-20,1873-08-18,1872-01-01,5,Q525663,Q96600412,Q4993034
176,52,Q525663,sundberg-anton-niklas,Q525663,Q525663,1874-12-20,1900-02-02 00:00:00+00:00,5,15,15,1874-12-20,1900-02-02,1900-02-02,6,Q330757,Q96600412,Q4993034
177,26,Q330757,billing-gottfrid,Q330757,Q330757,1900-12-20,1925-01-14 00:00:00+00:00,6,15,15,1900-12-20,1925-01-14,1925-01-14,7,Q4355881,Q96600412,Q525663
178,73,Q4355881,larsson-hans,Q4355881,Q4355881,1925-12-20,1944-02-16 00:00:00+00:00,7,15,15,1925-12-20,1944-02-16,1944-02-16,8,Q270468,Q96600412,Q330757
179,17,Q270468,wagner-elin,Q270468,Q270468,1944-12-20,1949-01-07 00:00:00+00:00,8,15,15,1944-12-20,1949-01-07,1949-01-07,9,Q132695,Q96600412,Q4355881
180,5,Q132695,martinson-harry,Q132695,Q132695,1949-12-20,1978-02-11 00:00:00+00:00,9,15,15,1949-12-20,1978-02-11,1978-02-11,10,Q4968221,Q96600412,Q270468
181,79,Q4968221,mossaed-jila,Q4968221,Q4968221,2018-12-20,,11,15,15,2018-12-20,,,11,,Q96600412,Q132695
182,194,Q984681,leopold-carl-gustaf-af,Q984681,Q984681,1786-06-21,1829-11-09 00:00:00+00:00,1,16,16,1786-06-21,1829-11-09,1829-11-09,1,Q5773319,Q96600424,
183,99,Q5773319,grubbe-samuel,Q5773319,Q5773319,1830-11-20,1853-11-06 00:00:00+00:00,2,16,16,1830-11-20,1853-11-06,1853-11-06,2,Q5818420,Q96600424,Q984681
184,104,Q5818420,hwasser-israel,Q5818420,Q5818420,1854-12-20,1860-05-11 00:00:00+00:00,3,16,16,1854-12-20,1860-05-11,1860-05-11,3,Q327853,Q96600424,Q5773319
185,24,Q327853,strandberg-carl,Q327853,Q327853,1862-12-20,1877-02-05 00:00:00+00:00,4,16,16,1862-12-20,1877-02-05,1877-02-05,4,Q432129,Q96600424,Q5818420
186,41,Q432129,rydberg-viktor,Q432129,Q432129,1878-05-22,1895-09-21 00:00:00+00:00,5,16,16,1878-05-22,1895-09-21,1895-09-21,5,Q2771659,Q96600424,Q327853
187,159,Q2771659,rudin-waldemar,Q2771659,Q2771659,1896-12-20,1921-01-02 00:00:00+00:00,6,16,16,1896-12-20,1921-01-02,1921-01-02,6,Q159723,Q96600424,Q432129
188,11,Q159723,soderblom-nathan,Q159723,Q159723,1921-12-20,1931-07-12 00:00:00+00:00,7,16,16,1921-12-20,1931-07-12,1931-07-12,7,Q933386,Q96600424,Q2771659
189,188,Q933386,andrae-tor,Q933386,Q933386,1932-12-20,1947-02-24 00:00:00+00:00,8,16,16,1932-12-20,1947-02-24,1947-02-24,8,Q721401,Q96600424,Q159723
190,66,Q721401,wessen-elias,Q721401,Q721401,1947-12-20,1981-01-30 00:00:00+00:00,9,16,16,1947-12-20,1981-01-30,1981-01-30,9,Q541085,Q96600424,Q933386
191,54,Q541085,espmark-kjell,Q541085,Q541085,1981-12-20,,10,16,16,1981-12-20,,,10,,Q96600424,Q721401
192,113,Q5997574,murberg-johan,Q5997574,Q5997574,1787-05-13,1805-03-27 00:00:00+00:00,1,17,17,1787-05-13,1805-03-27,1805-03-27,1,Q543935,Q96600443,
193,56,Q543935,armfelt-gustaf-mauritz-0,Q543935,Q543935,1807-11-23,1814-08-19 00:00:00+00:00,2,17,17,1807-11-23,1814-08-19,1814-08-19,2,Q543935,Q96600443,Q5997574
194,57,Q543935,armfelt-gustaf-mauritz-0,Q543935,Q543935,1786-05-13,1814-08-19 00:00:00+00:00,1,14,17,1807-11-23,1814-08-19,1814-08-19,3,Q116916,Q96600443,Q543935
195,1,Q116916,wetterstedt-gustaf-af,Q116916,Q116916,1811-12-16,1837-05-15 00:00:00+00:00,3,17,17,1811-12-16,1837-05-15,1837-05-15,4,Q4444020,Q96600443,Q543935
196,75,Q4444020,strinnholm-anders-magnus,Q4444020,Q4444020,1838-12-20,1862-01-18 00:00:00+00:00,4,17,17,1838-12-20,1862-01-18,1862-01-18,5,Q52950,Q96600443,Q116916
197,176,Q52950,de-geer-louis,Q52950,Q52950,1862-12-20,1896-09-24 00:00:00+00:00,5,17,17,1862-12-20,1896-09-24,1896-09-24,6,Q5628179,Q96600443,Q4444020
198,90,Q5628179,ehrenheim-pehr-von,Q5628179,Q5628179,1897-12-20,1918-03-20 00:00:00+00:00,6,17,17,1897-12-20,1918-03-20,1918-03-20,7,Q53300,Q96600443,Q52950
199,177,Q53300,hammarskjold-hjalmar,Q53300,Q53300,1918-12-20,1953-10-12 00:00:00+00:00,7,17,17,1918-12-20,1953-10-12,1953-10-12,8,Q1267,Q96600443,Q5628179
200,170,Q1267,hammarskjold-dag,Q1267,Q1267,1954-12-20,1961-09-17 00:00:00+00:00,8,17,17,1954-12-20,1961-09-17,1961-09-17,9,Q1276321,Q96600443,Q53300
201,198,Q1276321,lindegren-erik,Q1276321,Q1276321,1962-12-20,1968-05-31 00:00:00+00:00,9,17,17,1962-12-20,1968-05-31,1968-05-31,10,Q327578,Q96600443,Q1267
202,23,Q327578,edfelt-johannes,Q327578,Q327578,1969-12-20,1997-08-27 00:00:00+00:00,10,17,17,1969-12-20,1997-08-27,1997-08-27,11,Q912866,Q96600443,Q1276321
203,183,Q912866,engdahl-horace,Q912866,Q912866,1999-01-01,2009-01-01 00:00:00+00:00,15,,17,1997-12-20,,2009-01-01,12,Q912866,Q96600443,Q327578
204,184,Q912866,engdahl-horace,Q912866,Q912866,1997-12-20,,11,17,17,1997-12-20,,,13,,Q96600443,Q912866
205,165,Q3148840,sjoberg-nils-lorents,Q3148840,Q3148840,1787-05-13,1822-03-13 00:00:00+00:00,1,18,18,1787-05-13,1822-03-13,1822-03-13,1,Q3352340,Q96600458,
206,168,Q3352340,skjoldebrand-anders-fredrik,Q3352340,Q3352340,1822-10-21,1834-08-23 00:00:00+00:00,2,18,18,1822-10-21,1834-08-23,1834-08-23,2,Q708780,Q96600458,Q3148840
207,64,Q708780,ling-pehr-henrik,Q708780,Q708780,1835-06-27,1839-05-03 00:00:00+00:00,3,18,18,1835-06-27,1839-05-03,1839-05-03,3,Q444538,Q96600458,Q3352340
208,45,Q444538,atterbom-per,Q444538,Q444538,1840-05-29,1855-07-21 00:00:00+00:00,4,18,18,1840-05-29,1855-07-21,1855-07-21,4,Q984314,Q96600458,Q708780
209,193,Q984314,thomander-johan-henrik,Q984314,Q984314,1857-05-29,1865-07-09 00:00:00+00:00,5,18,18,1857-05-29,1865-07-09,1865-07-09,5,Q5621000,Q96600458,Q444538
210,89,Q5621000,ljunggren-gustaf,Q5621000,Q5621000,1866-05-29,1905-08-31 00:00:00+00:00,6,18,18,1866-05-29,1905-08-31,1905-08-31,6,Q6017772,Q96600458,Q984314
211,115,Q6017772,norstrom-vitalis,Q6017772,Q6017772,1907-06-20,1916-11-29 00:00:00+00:00,7,18,18,1907-06-20,1916-11-29,1916-11-29,7,Q312397,Q96600458,Q5621000
212,20,Q312397,montelius-oscar,Q312397,Q312397,1917-12-20,1921-11-04 00:00:00+00:00,8,18,18,1917-12-20,1921-11-04,1921-11-04,8,Q2642427,Q96600458,Q6017772
213,156,Q2642427,engstrom-albert,Q2642427,Q2642427,1922-12-20,1940-11-16 00:00:00+00:00,9,18,18,1922-12-20,1940-11-16,1940-11-16,9,Q1554766,Q96600458,Q312397
214,207,Q1554766,silfverstolpe-gunnar-mascoll,Q1554766,Q1554766,1941-12-20,1942-06-26 00:00:00+00:00,10,18,18,1941-12-20,1942-06-26,1942-06-26,10,Q5799669,Q96600458,Q2642427
215,101,Q5799669,hellstrom-gustaf,Q5799669,Q5799669,1942-12-20,1953-02-27 00:00:00+00:00,11,18,18,1942-12-20,1953-02-27,1953-02-27,11,Q828246,Q96600458,Q1554766
216,179,Q828246,malmberg-bertil,Q828246,Q828246,1953-12-20,1958-02-11 00:00:00+00:00,12,18,18,1953-12-20,1958-02-11,1958-02-11,12,Q366311,Q96600458,Q5799669
217,34,Q366311,ekelof-gunnar,Q366311,Q366311,1958-12-20,1968-03-16 00:00:00+00:00,13,18,18,1958-12-20,1968-03-16,1968-03-16,13,Q439832,Q96600458,Q828246
218,43,Q439832,lundkvist-artur,Q439832,Q439832,1968-12-20,1991-12-11 00:00:00+00:00,14,18,18,1968-12-20,1991-12-11,1991-12-11,14,Q378276,Q96600458,Q366311
219,36,Q378276,frostenson-katarina,Q378276,Q378276,1992-12-20,2019-01-18 00:00:00+00:00,15,18,18,1992-12-20,2019-01-18,2019-01-18,15,Q269291,Q96600458,Q439832
220,16,Q269291,forsstrom-tua,Q269291,Q269291,2019-02-07,,16,18,18,2019-12-20,,,16,,Q96600458,Q378276
