,WikidataID,riksdagenGUID,Source,sourceid,status,WD_Riksdagen,tilltalsnamn,efternamn,parti,fodd_ar,intressent_id,Riksdagen
2548,,,,241717e5-bd24-4c84-a63f-a3ba83d2f0fe,Inga uppdrag,Riksdagen_only,Yngve,Nilsson,H - M,1909,241717e5-bd24-4c84-a63f-a3ba83d2f0fe,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_241717e5-bd24-4c84-a63f-a3ba83d2f0fe'>link</a>
2566,,,,12b16f1d-af08-4f0f-959b-4864595f784c,Inga uppdrag,Riksdagen_only,Erik,Svedberg,S,1909,12b16f1d-af08-4f0f-959b-4864595f784c,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_12b16f1d-af08-4f0f-959b-4864595f784c'>link</a>
2529,,,,3ad89c02-9479-4dbc-bb65-c230c617a41a,Inga uppdrag,Riksdagen_only,Gunnar,Larsson,BF - C,1908,3ad89c02-9479-4dbc-bb65-c230c617a41a,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_3ad89c02-9479-4dbc-bb65-c230c617a41a'>link</a>
2465,,,,7c6ffd9b-ac58-429b-8496-84e73011ea6a,Inga uppdrag,Riksdagen_only,Ruth,Anderson,S,1908,7c6ffd9b-ac58-429b-8496-84e73011ea6a,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_7c6ffd9b-ac58-429b-8496-84e73011ea6a'>link</a>
2558,,,,189ea193-c274-4bf8-8203-9226f6f19fdf,Inga uppdrag,Riksdagen_only,Georg,Pettersson,S,1907,189ea193-c274-4bf8-8203-9226f6f19fdf,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_189ea193-c274-4bf8-8203-9226f6f19fdf'>link</a>
2556,,,,5399f854-dc32-4592-b0f5-80d8b80ca424,Inga uppdrag,Riksdagen_only,Eric,Peterson,FP,1906,5399f854-dc32-4592-b0f5-80d8b80ca424,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_5399f854-dc32-4592-b0f5-80d8b80ca424'>link</a>
2483,,,,9571c2db-fae8-4c2f-997e-8f43f4267664,Inga uppdrag,Riksdagen_only,Erik,Brandt,S,1905,9571c2db-fae8-4c2f-997e-8f43f4267664,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_9571c2db-fae8-4c2f-997e-8f43f4267664'>link</a>
2547,,,,d40e88ef-cc3b-40b6-80fe-cf6f9e1770fd,Inga uppdrag,Riksdagen_only,Torsten,Nilsson,S,1905,d40e88ef-cc3b-40b6-80fe-cf6f9e1770fd,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d40e88ef-cc3b-40b6-80fe-cf6f9e1770fd'>link</a>
2535,,,,4cdb1f93-5e56-41fc-a540-6b1acdf13492,Inga uppdrag,Riksdagen_only,John,Lundberg,S,1905,4cdb1f93-5e56-41fc-a540-6b1acdf13492,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_4cdb1f93-5e56-41fc-a540-6b1acdf13492'>link</a>
2513,,,,669c6053-537f-46ea-939f-e92ab8501042,Inga uppdrag,Riksdagen_only,Eric,Johanson,S,1905,669c6053-537f-46ea-939f-e92ab8501042,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_669c6053-537f-46ea-939f-e92ab8501042'>link</a>
2507,,,,8c0fdc21-d29b-4847-ab84-78482155ff65,Inga uppdrag,Riksdagen_only,Nils G,Hansson,BF - C,1902,8c0fdc21-d29b-4847-ab84-78482155ff65,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_8c0fdc21-d29b-4847-ab84-78482155ff65'>link</a>
2508,,,,353e4fc3-6449-4b53-b57c-12a50a08a017,Inga uppdrag,Riksdagen_only,Gunnar,Hedlund,BF - C,1900,353e4fc3-6449-4b53-b57c-12a50a08a017,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_353e4fc3-6449-4b53-b57c-12a50a08a017'>link</a>
