,WikidataID,show,librisid,WD_Litteraturbanken,full_name,authorid,Littbank,LittbankJSON
2560,,True,sq47ccfb06xxs1l,Litterturbanken_only,Hedvig Aurora Ekström,EkströmHE,<a href='https://litteraturbanken.se/f%C3%B6rfattare/EkströmHE'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/EkströmHE'>json</a>
2555,,True,64jlff0q2s2gmmp,Litterturbanken_only,Betty Chytræus,ChytræusB,<a href='https://litteraturbanken.se/f%C3%B6rfattare/ChytræusB'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/ChytræusB'>json</a>
2551,,True,fcrtvpmz5l0f222,Litterturbanken_only,Julius Mankell,MankellJ,<a href='https://litteraturbanken.se/f%C3%B6rfattare/MankellJ'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/MankellJ'>json</a>
2587,,True,tr572t2c5mq78c4,Litterturbanken_only,Victoria Berglund,BerglundV,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BerglundV'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BerglundV'>json</a>
2550,,True,dbqtx22x09kc2wt,Litterturbanken_only,Fredrika Möller,MöllerF,<a href='https://litteraturbanken.se/f%C3%B6rfattare/MöllerF'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/MöllerF'>json</a>
2549,,True,nl02w0664pt4csq,Litterturbanken_only,Ida Dehn,DehnI,<a href='https://litteraturbanken.se/f%C3%B6rfattare/DehnI'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/DehnI'>json</a>
2548,,True,mkz13c951k5nz8t,Litterturbanken_only,Janne Bruzelius,BruzeliusJ,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BruzeliusJ'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BruzeliusJ'>json</a>
2547,,True,53hlpsnp4g1lzw6,Litterturbanken_only,Nils Rudolf Munck af Rosenschöld,MunckRosenschöldNR,<a href='https://litteraturbanken.se/f%C3%B6rfattare/MunckRosenschöldNR'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/MunckRosenschöldNR'>json</a>
2544,,True,zw9cg9hh413fwpw,Litterturbanken_only,Johan Paul Juringius,JuringiusJP,<a href='https://litteraturbanken.se/f%C3%B6rfattare/JuringiusJP'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/JuringiusJP'>json</a>
2543,,True,sq462q0b45s9q2t,Litterturbanken_only,Sofia Maria Juringius,JuringiusSM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/JuringiusSM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/JuringiusSM'>json</a>
2562,,True,gdsvzx103p3ddqs,Litterturbanken_only,Sigismund Septimus Stanislaus Leczinsky,LeczinskySSS,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LeczinskySSS'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LeczinskySSS'>json</a>
2563,,True,jgvz21t24rs6ggr,Litterturbanken_only,Gustaf Åkerhielm,ÅkerhielmG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/ÅkerhielmG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/ÅkerhielmG'>json</a>
2564,,True,20dgbbrl59rq60r,Litterturbanken_only,Ingeborg Malmström,MalmströmI,<a href='https://litteraturbanken.se/f%C3%B6rfattare/MalmströmI'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/MalmströmI'>json</a>
2586,,True,zw9cfngh48k9rhh,Litterturbanken_only,Johan Niklas Bruhn,BruhnJN,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BruhnJN'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BruhnJN'>json</a>
2582,,True,gdsw0gz03v4t110,Litterturbanken_only,Gustaf Georg Silfversparre,SilfversparreGG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/SilfversparreGG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/SilfversparreGG'>json</a>
2578,,True,20dg93dl2tkzq4s,Litterturbanken_only,Fridolf Björling,BjörlingF,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BjörlingF'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BjörlingF'>json</a>
2573,,True,gdsvx4g035fw7q4,Litterturbanken_only,Theodor Björck,BjörckT,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BjörckT'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BjörckT'>json</a>
2572,,True,53hlp74p0ngtr7k,Litterturbanken_only,Charlotte Björk,BjörkC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BjörkC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BjörkC'>json</a>
2565,,True,sq462trb09lxljn,Litterturbanken_only,Per M. Kollander,KollanderPM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/KollanderPM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/KollanderPM'>json</a>
2630,,True,42gjlg1n2ffkfb5,Litterturbanken_only,Mortimer Hærén,HærénM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HærénM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HærénM'>json</a>
2631,,True,mkz13zj51qnvsb8,Litterturbanken_only,Carl Gustaf Albrekt Hård af Segerstad,HårdSegerstadCGA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HårdSegerstadCGA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HårdSegerstadCGA'>json</a>
2721,,True,31fhk5hm3dgq3bt,Litterturbanken_only,Anders Fridlund,FridlundA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/FridlundA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/FridlundA'>json</a>
