,skblid,publishedDate,subtitle_sv
84,LydiaLithell,2021-03-06,"Kompositör, andlig sångförfattare"
85,CarolinaCarolineGustafvaEleonoravonKnorring,2021-03-06,"Fotograf, pionjär"
86,CallaSundbeck,2021-03-06,Fotograf
87,HedvigStromfelt0,2021-03-05,"Herrnhutare, andlig sångförfattare"
88,MaryMajLindman,2021-03-05,"Barnboksförfattare, illustratör"
89,IngridAmaliaPySorman,2021-03-05,Författare
90,MagdalenaGyllenkrok,2021-03-05,"Filantrop, mecenat"
91,MajAnnaKarinOdman,2021-03-05,"Journalist, radio- och TV-producent"
92,MarieLouiseBachman,2021-03-04,"Bibliotekarie, historiker, pionjär"
93,BeataBergstrom,2021-03-04,"Teaterfotograf, pionjär"
94,TillieAnderson,2021-03-04,"Idrottare, cyklist, pionjär"
95,KerstinMargaretaMeyer,2021-03-04,"Operasångare, rektor"
96,KristinaLugn,2021-03-04,"Poet, dramatiker"
97,IngerRudberg0,2021-03-04,"Lärare, folkbildare, debattör"
98,BritaSkotsner,2021-03-04,Fotograf
99,EmiliaEvaEmmyNilsson,2021-03-04,"Teaterledare, samhällsdebattör, Förintelseöverlevare"
100,EllyBertaIsabellaLofstrand,2021-03-03,"Gymnast, pionjär, folkbildare"
101,ChristinaCatharinaLarsdotter,2021-03-03,"Flicka med gigantism, utställningsartist"
102,MirjamFuruhjelm,2021-03-03,"Gynekolog, professor, pionjär"
103,MariaMarySofiaAnderson,2021-03-03,"Facklig ledare, kvinnosakskvinna"
104,IngridYlvaBirgittaKallstromEklund,2021-03-02,"Tecknare, illustratör, grafisk formgivare"
105,LillemorIngeborgAinaSophieConstanceMannerheim,2021-03-02,"Keramiker, formgivare"
106,BedaWennerqvist0,2021-03-01,"Missionär, lärare, skolföreståndare"
107,BirgittaPalme0,2021-03-01,"Skådespelare, teaterchef, regissör"
108,AgnesViktoriaElinHansson,2021-02-28,Amatörfotograf
109,KarolinaAlfridaFridaWinnerstrand,2021-02-28,Skådespelare
110,BrittIngegerdMoller,2021-02-27,"Konstnär, textilkonstnär"
111,ToraAdelheidTeje,2021-02-27,Skådespelare
112,UllaSonjaSallert,2021-02-27,"Sångare, skådespelare"
113,LinaJonn,2021-02-27,"Fotograf, företagare"
114,MariaJonn,2021-02-27,"Fotograf, företagare"
115,EvaCeciliaDahlgren,2021-02-26,"Balettdansare, koreograf, danslärare"
116,FrancoiseMargueriteJanicon0,2021-02-26,"Författare, samhällsdebattör"
117,StinaLjunggren,2021-02-26,"Rektor, idrottsledare"
118,IngridAtterberg,2021-02-25,"Keramiker, formgivare"
119,DagnyMarianneErikson,2021-02-25,Textilhistoriker
120,LeoniaMariaLeonieGeisendorf,2021-02-25,Arkitekt
121,RagnhildWahlborg0,2021-02-25,Sjuksköterska
122,PaulineWestdahl,2021-02-25,"Väckelsekristen pionjär, författare, nykterhetskämpe"
123,BertaPersson,2021-02-24,"Busschaufför, pionjär, företagare"
124,MargitRosengren,2021-02-24,"Skådespelare, operettsångare"
125,EmmaMeissner,2021-02-24,"Skådespelare, operettsångare"
126,AliceErikssonKalla,2021-02-24,"Arbetslägeröverlevare, en av Kirunasvenskarna"
127,ReneeLouiseBjorling,2021-02-24,"Skådespelare, teaterlärare"
128,MaritaLindgrenFridell,2021-02-23,"Konsthistoriker, folkbildare, författare"
129,NancyFredrikaAugustaEdberg,2021-02-23,"Idrottare, simlärare, pionjär"
130,IngeborgThorin,2021-02-23,"Porträttfotograf, donator"
131,RutEvaStiberg,2021-02-23,Skådespelare
132,MargaretaNordstrom,2021-02-23,"Politiker, filantrop"
133,OlgaNyblom,2021-02-23,"Konstnär, textilkonstnär, redaktör"
134,IngridMariaOsvald,2021-02-23,"Skolföreståndare, författare, politiker"
135,EmmaDagmarStenbeck,2021-02-22,"Filantrop, engagerad i Röda Korset"
136,EliseMalmros,2021-02-22,"Bankkamrer, pionjär, filantrop"
137,IrmaChristenson,2021-02-21,Skådespelare
138,EllaBilling,2021-02-21,"Rösträttskvinna, samhällsdebattör"
139,AlmaGunillaMariaGullNatorp,2021-02-20,Skådespelare
140,KerstinBernhard,2021-02-20,"Fotograf, pionjär"
142,JuliaSvedelius,2021-02-20,"Filantrop, föreläsare, redaktör"
143,EstherRoeckHansen,2021-02-19,Skådespelare
144,ElisabethChristinavonLinne,2021-02-19,Botaniker
145,GudrunBrost,2021-02-19,"Skådespelare, revyartist"
147,EllenBergman0,2021-02-19,"Musiker, lärare, kvinnosakskvinna"
148,EdlaHedvigSofiaafKlercker,2021-02-18,"Författare, donator"
151,MajGunillaElisabetSkyttla,2021-02-18,Textilkonstnär
