SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
5490,12423,"Abelin, släkt",,,"Band 01 (1918), sida 1.",1918
5491,33602,Gustaf R Abelin,"Född:1819-05-17 – Linköpings Domkyrkoförsamling, Östergötlands län","Död:1903-09-19 – Kvillinge församling, Östergötlands län (på Björnsnäs)","Band 01 (1918), sida 5.",1918
5492,42039,Hjalmar A Abelin,"Född:1817-05-22 – Linköpings Domkyrkoförsamling, Östergötlands län","Död:1893-09-13 – Stockholms stad, Stockholms län","Band 01 (1918), sida 1.",1918
5493,22113,C Rudolf Z Abelin,"Född:1864-05-30 – Malmö stad, Skåne län","Död:1961 – Västra Karups församling, Kristianstads län","Band 01 (1918), sida 9.",1918
5494,27403,P Wilhelm Abenius,"Född:1864-05-21 – Orsa församling, Dalarnas län","Död:1956 – Ramsbergs församling, Örebro län","Band 01 (1918), sida 11.",1918
5495,18339, Abraham Brodersson,,Död:1410-08-27,"Band 01 (1918), sida 12.",1918
5496,13393,"Abrahamson, släkt",,,"Band 01 (1918), sida 15.",1918
5497,22141,August Abrahamson,"Född:1817-12-29 – Karlskrona stadsförsamling, Blekinge län","Död:1898-05-06 – Skallsjö församling, Älvsborgs län (på Nääs.)","Band 01 (1918), sida 15.",1918
5498,22692,Euphrosyne Abrahamson (f. Leman),"Född:1836-03-24 – Stockholms stad, Stockholms län",Död:1869-02-07,"Band 01 (1918), sida 17.",1918
5499,21991,Laurentius Gustaf Abrahamson,"Född:1856-03-02 – Medåkers församling, Västmanlands län",Död:1946,"Band 01 (1918), sida 13.",1918
5500,47542,Petter Abrahamsson,"Född:1668-07-29 – Stockholms stad, Stockholms län","Död:1741-04-20 – Stockholms stad, Stockholms län","Band 01 (1918), sida 19.",1918
5501,102439, Abrahamus Andreæ Angermannus,,Död:1607/08,"Band 01 (1918), sida 24.",1918
5503,33261,Erik Acharius,"Född:1757-10-10 – Gävle Heliga Trefaldighets församling, Gävleborgs län","Död:1819-08-14 – Vadstena församling, Östergötlands län","Band 01 (1918), sida 37.",1918
5504,12755,"Achrelius, släkt",,,"Band 01 (1918), sida 40.",1918
5505,30838,Daniel Achrelius,Född:1644 – Finland (i Åbo),Död:1692-04-23 – Finland (i Åbo),"Band 01 (1918), sida 40.",1918
5507,36064,Abraham Achrenius,"Född:1706-02-01 – Finland (i Somero socken, Tavastland.)",Död:1796-09-28 – Finland (i Nousis.),"Band 01 (1918), sida 42.",1918
5508,23095,J Axel G Acke,"Född:1859-04-07 – Adolf Fredriks församling, Stockholms län",Död:1924,"Band 01 (1918), sida 45.",1918
5509,30068,"Johan Gustaf Acrel, af","Född:1741-05-15 – Stockholms stad, Stockholms län",Död:1801-02-18,"Band 01 (1918), sida 54.",1918
5510,50518,Olof Acrel,"Född:1717-11-26 – Österåkers församling (AB-län), Stockholms län","Död:1806-05-28 – Stockholms stad, Stockholms län","Band 01 (1918), sida 47.",1918
5511,14589,"Acrelius, släkt",,,"Band 01 (1918), sida 56.",1918
5512,41400,Israel Acrelius,"Född:1714-12-04 – Österåkers församling (AB-län), Stockholms län","Död:1800-04-25 – Fellingsbro församling, Örebro län","Band 01 (1918), sida 57.",1918
5513,17479, Adalvard d.y.,Född:1000-talet,Död:1070-tal,"Band 01 (1918), sida 62.",1918
5514,18444, Adalvard d.ä.,Född:1000-talet,Död:1060-tal,"Band 01 (1918), sida 61.",1918
5516,12719,"Adelborg, släkt",,,"Band 01 (1918), sida 63.",1918
5517,20466,Gertrud V Adelborg,"Född:1853-09-10 – Karlskrona stadsförsamling, Blekinge län","Död:1942 – Gagnefs församling, Dalarnas län","Band 01 (1918), sida 65.",1918
5518,15490,E A Maria Adelborg,"Född:1849-12-06 – Karlskrona stadsförsamling, Blekinge län","Död:1940-04-23 – Gagnefs församling, Dalarnas län","Band 01 (1918), sida 64.",1918
5519,20317,E Ottilia Adelborg,"Född:1855-12-06 – Karlskrona stadsförsamling, Blekinge län",Död:1936,"Band 01 (1918), sida 66.",1918
5520,18561,Per Otto Adelborg,"Född:1781-04-24 – Västerviks församling, Kalmar län",Död:1818-03-02,"Band 01 (1918), sida 63.",1918
5521,13048,"Adelcrantz, släkt",,,"Band 01 (1918), sida 67.",1918
5522,42846,Carl Fredric Adelcrantz,Född:1716-01-30,Död:1796-03-01,"Band 01 (1918), sida 71.",1918
5523,30085,Giöran (Georg) J Adelcrantz,Född:1668-11-15,Död:1739-02-26,"Band 01 (1918), sida 68.",1918
5524,13383,"Adelheim, släkt",,,"Band 01 (1918), sida 77.",1918
5526,17462,Johan Fredric Adelheim,Född:1777-04-15,Död:1806-12-27,"Band 01 (1918), sida 77.",1918
5528,49662,Claes A Adelsköld,"Född:1824-09-07 – Alingsås landsförsamling, Älvsborgs län (på Nolhaga.)","Död:1907-10-01 – Stockholms stad, Stockholms län","Band 01 (1918), sida 79.",1918
5529,20097,Johan Christian Adelsköld,Född:1737-05-13,Död:1798-03-10,"Band 01 (1918), sida 78.",1918
5530,16639,"Adelswärd, släkt",,,"Band 01 (1918), sida 85.",1918
5531,21593,Eric Göran Adelswärd,Född:1751-01-21,Död:1810-02-15,"Band 01 (1918), sida 87.",1918
5532,35735,Eric Reinhold Adelswärd,Född:1778-01-13,Död:1840-01-22,"Band 01 (1918), sida 89.",1918
5533,22431,Georg (Georges) N Adelswärd,Född:1810-08-31 – Tyskland (i Stralsund),Död:1878-11-26 – Frankrike (i Paris),"Band 01 (1918), sida 93.",1918
5534,20573,Johan Adelswärd,Född:1718-05-20,Död:1785-06-27,"Band 01 (1918), sida 86.",1918
5536,20543,"Renauld Casimir Oscar Adelswärd, d'","Född:1811-12-18 – Frankrike (i Longwy, dep. Moselle.)","Död:1898-02-18 – Storbritannien och Nordirland (i S:t Hélier, Jersey.)","Band 01 (1918), sida 94.",1918
5537,45600,A Theodor Adelswärd,"Född:1860-10-13 – Hyltinge församling, Södermanlands län",Död:1929,"Band 01 (1918), sida 96.",1918
5538,15699, Adils,Född:500-talet,Död:500,"Band 01 (1918), sida 101.",1918
5539,25654,Bror Victor Adler,"Född:1848-06-20 – Fors församling (P-län), Älvsborgs län (på Sjuntorp)","Död:1910-01-12 – Stockholms stad, Stockholms län","Band 01 (1918), sida 101.",1918
5540,92443,Johan Adler Salvius,Född:1590,Död:1652-08-24,"Band 01 (1918), sida 143.",1918
5541,13086,"Adlerberg, släkt",,,"Band 01 (1918), sida 103.",1918
5542,28878,Carl Gustaf Adlerberg,"Född:1763-01-01 – Stockholms stad, Stockholms län","Död:1814-06-22 – Hässleby församling, Jönköpings län (på Marianelund.)","Band 01 (1918), sida 103.",1918
5543,12161,"Adlerbeth, släkt",,,"Band 01 (1918), sida 106.",1918
5544,57923,Gudmund Jöran Adlerbeth,"Född:1751-05-21 – Jönköpings Kristina församling, Jönköpings län","Död:1818-10-07 – Svarttorps församling, Jönköpings län (på Ramsjöholm.)","Band 01 (1918), sida 106.",1918
5545,33039,Jacob Adlerbeth,"Född:1785-05-21 – Stockholms stad, Stockholms län","Död:1844-09-02 – Stockholms stad, Stockholms län","Band 01 (1918), sida 114.",1918
5546,15630,"Adlercreutz, släkt",,,"Band 01 (1918), sida 117.",1918
5547,42354,Axel Gustaf Adlercreutz,Född:1821-03-02,"Död:1880-05-20 – Stockholms stad, Stockholms län","Band 01 (1918), sida 130.",1918
5548,86801,Carl Johan Adlercreutz,"Född:1757-04-27 – Finland (på Kiala, Borgå socken.)",Död:1815-08-21,"Band 01 (1918), sida 118.",1918
5552,24113,Johan Adlercrona,,Död:1687,"Band 01 (1918), sida 135.",1918
5553,23135,"Adlerfelt, släkt",,,"Band 01 (1918), sida 137.",1918
5554,19932,Carl Adlerfelt,"Född:1719-04 – Stockholms stad, Stockholms län",Död:1769-01-20,"Band 01 (1918), sida 142.",1918
5555,20727,Carl Maximilian Emanuel Johan Adlerfelt,Född:1706-02-11 – Tyskland (i Wismar.),Död:1747 – Tyskland (i Kiel.),"Band 01 (1918), sida 140.",1918
5556,26808,Gustaf Adlerfelt,Född:1671,Död:1709-06-28 – Ukraina (vid Poltava),"Band 01 (1918), sida 137.",1918
5557,21499,Pehr Adlerfelt,Född:1680-07-04,Död:1743-06-27,"Band 01 (1918), sida 139.",1918
5558,14596,"Adlersparre, släkt",,,"Band 01 (1918), sida 156.",1918
5559,48677,Axel Adlersparre,Född:1763-06-29,Död:1838-09-16,"Band 01 (1918), sida 173.",1918
5560,44353,Axel Adlersparre,"Född:1812-10-27 – Ås församling (H-län), Kalmar län (på Ottenby kungsgård.)","Död:1879-06-16 – Stockholms stad, Stockholms län","Band 01 (1918), sida 182.",1918
5561,24190,Carl Adlersparre,Född:1752-01-22,Död:1825-06-24,"Band 01 (1918), sida 156.",1918
5562,32464,Carl August Adlersparre,"Född:1810-06-07 – Kristinehamns församling, Värmlands län","Död:1862-05-05 – Stockholms stad, Stockholms län","Band 01 (1918), sida 180.",1918
5563,103292,Georg Adlersparre,"Född:1760-03-28 – Myssjö församling, Jämtlands län (på militiebostället Hovermo)",Död:1835-09-23,"Band 01 (1918), sida 158.",1918
5564,38606,K Sophie Adlersparre (f. Leijonhuvud),"Född:1823-07-06 – Västrums församling, Kalmar län (på Helgerum)","Död:1895-06-27 – Grödinge församling, Stockholms län (på Ström, vid Södertälje.)","Band 01 (1918), sida 187.",1918
5565,20031,Sophie Adolphine Adlersparre,"Född:1808-03-06 – Ås församling (H-län), Kalmar län (förmodligen på Ottenby kungsgård.)","Död:1862-03-23 – Stockholms stad, Stockholms län","Band 01 (1918), sida 178.",1918
5566,14136,"Adlerstedt, släkt",,,"Band 01 (1918), sida 191.",1918
5568,27603,Lorens Jacob Adlerstedt,Född:1699-08-14,Död:1756-11-25,"Band 01 (1918), sida 191.",1918
5569,22739,Jöran Adlersteen,Född:1640omkr,Död:1713-03-10,"Band 01 (1918), sida 194.",1918
5570,20961,Jonas Adlerstråhle,"Född: – Nors församling, Värmlands län",Död:1759-01-22 – Tyskland (i Stralsund),"Band 01 (1918), sida 195.",1918
5571,12380,"Adlerz, släkt",,,"Band 01 (1918), sida 197.",1918
5572,18836,Ernst Adlerz,"Född:1854-11-06 – Linköpings Domkyrkoförsamling, Östergötlands län",Död:1918,"Band 01 (1918), sida 197.",1918
5573,29488,Gottfrid A Adlerz,"Född:1858-02-25 – Vadstena församling, Östergötlands län",Död:1918,"Band 01 (1918), sida 198.",1918
5574,65087, Adolf Fredrik,"Född:1710-05-14 – Tyskland (på slottet Gottorp, i Slesvig.)","Död:1771-02-12 – Hovförsamlingen, Stockholms län","Band 01 (1918), sida 200.",1918
5575,56676, Adolf Johan,"Född:1629-10-11 – Gryts församling (E-län), Östergötlands län (på Stegeborg)","Död:1689-10-14 – Gryts församling (E-län), Östergötlands län (på Stegeborg)","Band 01 (1918), sida 209.",1918
5576,18511, Adolf Johan,Född:1666-08-13,Död:1701-02-25 – Estland (i Lais),"Band 01 (1918), sida 217.",1918
5577,16595,"Afzelius, släkt",,,"Band 01 (1918), sida 218.",1918
5578,33366,Adam Afzelius,"Född:1750-10-07 – Larvs församling, Skaraborgs län","Död:1837-01-30 – Uppsala domkyrkoförsamling, Uppsala län","Band 01 (1918), sida 219.",1918
5579,37192,Anders Eric Afzelius,"Född:1779-04-25 – Forshems församling, Skaraborgs län",Död:1850-03-01 – Lettland (i Riga),"Band 01 (1918), sida 230.",1918
5580,21327,Anders Johan Afzelius,"Född:1817-12-13 – Alingsås stadsförsamling, Älvsborgs län",Död:1865-01-14,"Band 01 (1918), sida 241.",1918
5581,44842,A August Afzelius,"Född:1785-05-06 – Hornborga församling, Skaraborgs län (på Fjällåkra)","Död:1871-09-25 – Enköpings församling, Uppsala län","Band 01 (1918), sida 234.",1918
5582,29088,Fredrik Georg Afzelius,"Född:1812-12-07 – Films församling, Uppsala län",Död:1896-03-19,"Band 01 (1918), sida 238.",1918
5584,42077,J F Ivar Afzelius,"Född:1848-10-15 – Uppsala domkyrkoförsamling, Uppsala län",Död:1921,"Band 01 (1918), sida 242.",1918
5585,23379,Johan (Jan) Afzelius,"Född:1753-06-13 – Larvs församling, Skaraborgs län","Död:1837-05-20 – Uppsala domkyrkoförsamling, Uppsala län","Band 01 (1918), sida 222.",1918
5586,29004,Jon Arvid Afzelius,"Född:1856-06-26 – Västerås domkyrkoförsamling, Västmanlands län",Död:1918,"Band 01 (1918), sida 246.",1918
5587,53765,Pehr von Afzelius,"Född:1760-12-14 – Larvs församling, Skaraborgs län",Död:1843-12-02,"Band 01 (1918), sida 224.",1918
5588,18429,Davida Carolina Afzelius-Bohlin (f. Larsson),"Född:1866-12-30 – Göteborgs stad, Västra Götalands län",Död:1955,"Band 01 (1918), sida 249.",1918
5589,14386,"Agardh, släkt",,,"Band 01 (1918), sida 250.",1918
5590,118948,Carl Adolph Agardh,"Född:1785-01-23 – Båstads församling, Kristianstads län","Död:1859-01-28 – Karlstads domkyrkoförsamling, Värmlands län","Band 01 (1918), sida 250.",1918
5591,60815,Jacob G Agardh,"Född:1813-12-08 – Lunds domkyrkoförsamling, Skåne län","Död:1901-01-17 – Lunds domkyrkoförsamling, Skåne län","Band 01 (1918), sida 268.",1918
5592,26066,J Mortimer Agardh,"Född:1812-12-21 – Båstads församling, Kristianstads län","Död:1862-09-05 – Lunds domkyrkoförsamling, Skåne län","Band 01 (1918), sida 265.",1918
5594,26100,Eric Nilsson Agner,"Född:1642omkr – Arnäs församling, Västernorrlands län",Död:1727,"Band 01 (1918), sida 274.",1918
5595,27062,Nicolaus Petri Agrelius (Agrell),,Död:1681,"Band 01 (1918), sida 284.",1918
5596,12552,"Agrell (Agrelius), släkt",,,"Band 01 (1918), sida 284.",1918
5597,12668,"Agrell, släkt",,,"Band 01 (1918), sida 286.",1918
5598,13126,"Agrell, släkt",,,"Band 01 (1918), sida 289.",1918
5599,23738,Alfhild T Agrell (f. Martin),"Född:1849-01-14 – Härnösands domkyrkoförsamling, Västernorrlands län",Död:1923,"Band 01 (1918), sida 280.",1918
5600,28006,Carl Magnus Agrell,"Född:1764-11-18 – Linneryds församling, Kronobergs län (på Skogsnäs)","Död:1840-10-10 – Skatelövs församling, Kronobergs län","Band 01 (1918), sida 289.",1918
5601,37719,Johan Agrell,"Född:1701-02-01 – Löts församling, Östergötlands län",Död:1765-01-19,"Band 01 (1918), sida 276.",1918
5603,27985,Olof Agrell,"Född:1755-10-04 – Hyby församling, Skåne län","Död:1832-01-18 – Göteborgs stad, Västra Götalands län","Band 01 (1918), sida 287.",1918
5604,23554,P Sigurd Agrell,"Född:1881-01-16 – Rämmens församling, Värmlands län",Död:1937,"Band 01 (1918), sida 282.",1918
5605,16917,Sven Agrell,"Född:1685 – Torups församling, Hallands län",Död:1713 – Turkiet (i Adrianopel),"Band 01 (1918), sida 286.",1918
5606,39017,Michael Olavi Agricola,"Född:1508 omkr – Finland (Kyrönniemi by, Nykyrka socken. Begravd i Viborg.) (Finland (Torsby, Perno socken, Nyland.))",Död:1557-04-09,"Band 01 (1918), sida 291.",1918
5608,23476,Axel W Ahlberg,"Född:1874-04-26 – Gällstads församling, Älvsborgs län",Död:1951,"Band 01 (1918), sida 298.",1918
5610,32622,Per August Ahlberg,"Född:1823-08-13 – Mörlunda församling, Kalmar län","Död:1887-07-01 – Örebro församling, Örebro län","Band 01 (1918), sida 295.",1918
5611,17905,Lea F Ahlborn (f. Lundgren),Född:1826-02-18,Död:1897-11-13,"Band 01 (1918), sida 299.",1918
5612,32361,Karl J M Ahlenius,"Född:1866-02-10 – Tanums församling, Västra Götalands län","Död:1906-04-23 – Uppsala domkyrkoförsamling, Uppsala län","Band 01 (1918), sida 300.",1918
5613,20259,Fredrik Elias Ahlfvengren,"Född:1862-04-07 – Hejde församling, Gotlands län","Död:1921-12-22 – Gustav Vasa församling, Stockholms län","Band 01 (1918), sida 303.",1918
5614,25489,Johan Samuel Ahlgren,"Född:1764-12-10 – Stockholms stad, Stockholms län","Död:1816-08-12 – Stockholms stad, Stockholms län","Band 01 (1918), sida 305.",1918
5615,20117,August Fredrik (Fritz) Ahlgrensson,"Född:1838-01-31 – Stockholms stad, Stockholms län","Död:1902-10-26 – Danviks hospital och Sicklaö, Stockholms län","Band 01 (1918), sida 307.",1918
5616,13500,"Ahlman, släkt",,,"Band 01 (1918), sida 310.",1918
5618,36541,Martin Eric Ahlman,"Född:1773-12-03 – Lomma församling, Skåne län",Död:1844-04-07,"Band 01 (1918), sida 311.",1918
5619,25453,Pehr Zacharias Ahlman,"Född:1734-09-06 – Okome församling, Hallands län",Död:1802-03-23,"Band 01 (1918), sida 308.",1918
5620,13381,"Ahlqvist, släkt",,,"Band 01 (1918), sida 314.",1918
5621,28373,Abraham Ahlqvist,"Född:1794-07-05 – Mörbylånga församling, Kalmar län","Död:1844-07-09 – Runstens församling, Kalmar län","Band 01 (1918), sida 314.",1918
5622,28868,Alfred Gustaf Ahlqvist,"Född:1838-06-17 – Runstens församling, Kalmar län","Död:1881-03-26 – Växjö domkyrkoförsamling, Kronobergs län","Band 01 (1918), sida 317.",1918
5623,21204,Adolf L Ahlsell,"Född:1844-04-09 – Stockholms stad, Stockholms län",Död:1916-02-02,"Band 01 (1918), sida 319.",1918
5624,26560,Johan August Ahlstrand,"Född:1822-08-25 – Växjö stadsförsamling, Kronobergs län","Död:1896-06-14 – Stockholms stad, Stockholms län","Band 01 (1918), sida 321.",1918
5625,27775,Gustaf Ahlström,"Född:1862-09-25 – Lunds domkyrkoförsamling, Skåne län",Död:1955,"Band 01 (1918), sida 328.",1918
5626,34392,Jacob Niclas Ahlström,"Född:1805-06-05 – Visby stadsförsamling, Gotlands län","Död:1857-05-14 – Stockholms stad, Stockholms län","Band 01 (1918), sida 323.",1918
5627,19024,Johan Alfred Ahlström,"Född:1833-01-01 – Stockholms stad, Stockholms län","Död:1910-03-26 – Stockholms stad, Stockholms län","Band 01 (1918), sida 327.",1918
5628,16216,"Ahnfelt, släkt",,,"Band 01 (1918), sida 330.",1918
5629,31176,Arvid W N Ahnfelt,"Född:1845-08-16 – Lunds domkyrkoförsamling, Skåne län",Död:1890-02-16 – Danmark (i Köpenhamn),"Band 01 (1918), sida 336.",1918
5631,37858,P Gabriel Ahnfelt,"Född:1803-03-25 – Gullarps församling, Skåne län",Död:1863-10-11,"Band 01 (1918), sida 331.",1918
5632,22882,Oscar Ahnfelt,"Född:1813-05-21 – Gullarps församling, Skåne län",Död:1882-10-22,"Band 01 (1918), sida 335.",1918
5633,19190,N Otto Ahnfelt,"Född:1801-10-31 – Gullarps församling, Skåne län","Död:1837-01-01 – Knästorps församling, Skåne län","Band 01 (1918), sida 330.",1918
5634,39155,Otto N T Ahnfelt,"Född:1854-09-13 – Dalby församling (M-län), Skåne län","Död:1910-02-03 – Linköpings Domkyrkoförsamling, Östergötlands län","Band 01 (1918), sida 339.",1918
5636,22745,Frantz Joachim von Aken,"Född:1738-07-07 – Örebro Nikolai församling, Örebro län","Död:1798-07-23 – Örebro Nikolai församling, Örebro län","Band 01 (1918), sida 342.",1918
5637,14362,"Aken, von, släkt",,,"Band 01 (1918), sida 342.",1918
5638,24771,Ernst Teodor Andersson Akmar,"Född:1877-09-07 – Åtvids församling, Östergötlands län",Död:1957,"Band 01 (1918), sida 344.",1918
5639,22864,Fredrik Akrel,"Född:1748-05-27 – Öja församling (D-län), Södermanlands län",Död:1804-11-06,"Band 01 (1918), sida 345.",1918
5640,74224,Carl Fredrik Akrell,"Född:1779-01-23 – Stockholms stad, Stockholms län","Död:1868-09-11 – Stockholms stad, Stockholms län","Band 01 (1918), sida 347.",1918
5641,47420,Gustaf Ferdinand Asker,"Född:1812-06-18 – Jönköpings Kristina församling, Jönköpings län","Död:1897-07-14 – Stockholms stad, Stockholms län","Band 02 (1920), sida 367.",1920
5642,28973,Pehr Gustaf Alander,"Född:1807-01-29 – Norra Vings församling, Skaraborgs län","Död:1874-07-01 – Släps församling, Hallands län (på Särö)","Band 01 (1918), sida 356.",1918
5643,14207,"Alanus, släkt",,,"Band 01 (1918), sida 359.",1918
5644,32925,Georg Alanus,Född:1609-02-12 – Finland (i Jomala),Död:1664-07-15 – Finland (i Åbo),"Band 01 (1918), sida 359.",1918
5645,22652,Jehan Alard,,Död:1500,"Band 01 (1918), sida 362.",1918
5646,28068,Henrik Otto von Albedyl,Född:1666,Död:1738,"Band 01 (1918), sida 363.",1918
5647,24603, Albertus pictor,Född:senast ca 1450,Död:kort efter 1508,"Band 01 (1918), sida 366.",1918
5648,30596, Albrekt,Född:1340omkr – Tyskland (i Mecklenburg),Död:1412 – Tyskland (i Mecklenburg),"Band 01 (1918), sida 368.",1918
5649,31174,Gustaf A Aldén,"Född:1852-09-16 – Alseda församling, Jönköpings län",Död:1927,"Band 01 (1918), sida 371.",1918
5650,14792, Ale,Född:500-talet,Död:500,"Band 01 (1918), sida 374.",1918
5651,16931,Johan Abraham Aleander,Född:1766-12-10,"Död:1853-05-15 – Stockholms stad, Stockholms län","Band 01 (1918), sida 374.",1918
5652,13909,"Alexanderson, släkt",,,"Band 01 (1918), sida 375.",1918
5653,25912,Aron M Alexanderson,"Född:1841-04-10 – Stockholms stad, Stockholms län",Död:1930,"Band 01 (1918), sida 375.",1918
5654,23893,Carl A Alexanderson,"Född:1845-02-10 – Stockholms stad, Stockholms län",Död:1932-02-06,"Band 01 (1918), sida 377.",1918
5655,22764,Ernst F W Alexanderson,"Född:1878-01-25 – Uppsala domkyrkoförsamling, Uppsala län",Död:1975,"Band 01 (1918), sida 381.",1918
5656,24268,Nils E Alexanderson,"Född:1875-04-15 – Sankt Olofs församling (AB-län), Stockholms län","Död:1960-04-21 – Hedvig Eleonora församling, Stockholms län","Band 01 (1918), sida 379.",1918
5657,37604,Hugo E Alfvén,"Född:1872-05-01 – Stockholms stad, Stockholms län",Död:1960,"Band 01 (1918), sida 383.",1918
5658,33718, Algot Brynolfsson,Född:senast omkring 1228,Död:senast 1302,"Band 01 (1918), sida 388.",1918
5659,20039,"Algotssönerna, släkt",,,"Band 01 (1918), sida 386.",1918
5660,38533, Brynolf Algotsson,,Död:1317,"Band 01 (1918), sida 391.",1918
5661,15421, Knut Folkesson,,Död:1348,"Band 01 (1918), sida 395.",1918
5662,15644, Peter Algotsson,,Död:1299,"Band 01 (1918), sida 395.",1918
5663,18305,"Alin, släkt",,,"Band 01 (1918), sida 398.",1918
5664,24867,Edvard F E Alin,"Född:1859-04-18 – Hedemora landsförsamling, Dalarnas län",Död:1935,"Band 01 (1918), sida 413.",1918
5667,101787,Oscar J Alin,"Född:1846-12-22 – Falu Kristine församling, Dalarnas län","Död:1900-12-31 – Stockholms stad, Stockholms län","Band 01 (1918), sida 399.",1918
5668,26945,Svante Alin,"Född:1852-05-19 – Skarstads församling, Skaraborgs län",Död:1930-09-20,"Band 01 (1918), sida 396.",1918
5669,21934,Jonas Allvin,"Född:1777-12-05 – Västra Tollstads församling, Östergötlands län",Död:1866-04-12,"Band 01 (1918), sida 414.",1918
5670,20270,Johan Emil Alm,"Född:1878-10-18 – Överluleå församling, Norrbottens län",Död:1963,"Band 01 (1918), sida 416.",1918
5671,18425,A Adele L Almati-Rundberg,"Född:1861-02-23 – USA, Amerikas Förenta Stater (i Jersey city, New Jersey)",,"Band 01 (1918), sida 417.",1918
5672,12635,"Almén, släkt",,,"Band 01 (1918), sida 418.",1918
5673,49621,August Theodor Almén,"Född:1833-01-24 – Myckleby församling, Västra Götalands län",Död:1903-11-24,"Band 01 (1918), sida 418.",1918
5674,20813,Sigge Theodor Frans Almén,"Född:1881-04-02 – Solberga församling (O-län), Västra Götalands län","Död:1914-08-07 – Stockholms stad, Stockholms län","Band 01 (1918), sida 425.",1918
5675,22821,Tore August Almén,"Född:1871-10-14 – Uppsala domkyrkoförsamling, Uppsala län",Död:1919,"Band 01 (1918), sida 423.",1918
5676,12519,"Almfelt, släkt",,,"Band 01 (1918), sida 426.",1918
5677,17464,Lorens Axel Fredrik Almfelt,Född:1781-08-13,"Död:1844-12-30 – Stockholms stad, Stockholms län","Band 01 (1918), sida 429.",1918
5678,28450,Lorens Peter Almfelt,Född:1739-06-14 – Tyskland (i Stralsund),Död:1807-04-18,"Band 01 (1918), sida 426.",1918
5679,14137,"Almgren, släkt",,,"Band 01 (1918), sida 429.",1918
5681,25245,Knut August Almgren,"Född:1806-07-15 – Västerås domkyrkoförsamling, Västmanlands län","Död:1884-04-20 – Stockholms stad, Stockholms län","Band 01 (1918), sida 430.",1918
5682,33558,Oscar M Almgren,"Född:1842-08-14 – Stockholms stad, Stockholms län","Död:1910-03-27 – Stockholms stad, Stockholms län","Band 01 (1918), sida 432.",1918
5683,38259,Oscar Almgren,"Född:1869-11-09 – Stockholms stad, Stockholms län",Död:1945,"Band 01 (1918), sida 435.",1918
5684,31692,Herman N Almkvist,"Född:1839-04-28 – Stockholms stad, Stockholms län","Död:1904-09-30 – Uppsala domkyrkoförsamling, Uppsala län","Band 01 (1918), sida 439.",1918
5685,34145,Johan R Almkvist,"Född:1869-07-03 – Ystads församling, Skåne län","Död:1945-12-09 – Hedvig Eleonora församling, Stockholms län","Band 01 (1918), sida 441.",1918
5686,13426,"Almlöf, släkt",,,"Band 01 (1918), sida 446.",1918
5687,23818,Anders Almlöf,"Född:1793-05-30 – Markims församling, Stockholms län","Död:1858-04-22 – Stockholms stad, Stockholms län","Band 01 (1918), sida 444.",1918
5688,16992,Anna Maria Francisca Charlotta Almlöf (f. Ficker),"Född:1813-06-16 – Stockholms stad, Stockholms län","Död:1881-11-11 – Stockholms stad, Stockholms län","Band 01 (1918), sida 450.",1918
5689,18852,H C E (Betty) Almlöf (f. Deland),"Född:1831-11-14 – Örebro Nikolai församling, Örebro län","Död:1882-04-01 – Stockholms stad, Stockholms län","Band 01 (1918), sida 453.",1918
5690,28930,C A Knut Almlöf,"Född:1829-02-09 – Stockholms stad, Stockholms län","Död:1899-01-03 – Kärnbo församling, Södermanlands län (på vill Almnäs vid Gripsholm)","Band 01 (1918), sida 451.",1918
5691,37515,Nils W Almlöf,"Född:1799-03-24 – Stockholms stad, Stockholms län","Död:1875-02-27 – Stockholms stad, Stockholms län","Band 01 (1918), sida 446.",1918
5692,18957,"Almquist, släkt",,,"Band 01 (1918), sida 457.",1918
5693,21387,Anders Almquist,"Född:1704 – Linköpings Domkyrkoförsamling, Östergötlands län","Död:1770 – Värmdö församling, Stockholms län","Band 01 (1918), sida 454.",1918
5694,19212,Bror E Almquist,"Född:1864-08-09 – Borgviks församling, Värmlands län","Död:1940-04-25 – Sankt Görans församling, Stockholms län","Band 01 (1918), sida 456.",1918
5695,154194,Carl Jonas Lovis (Love) Almquist,"Född:1793-11-28 – Adolf Fredriks församling, Stockholms län",Död:1866-09-26 – Tyskland (i Bremen),"Band 01 (1918), sida 473.",1918
5696,80942,Eric Abraham Almquist,Född:1767-05-25,Död:1830-07-29,"Band 01 (1918), sida 462.",1918
5697,41773,Eric Jonas Almquist,"Född:1729-02-02 – Täby församling (AB-län), Stockholms län","Död:1808-03-15 – Tierps församling, Uppsala län","Band 01 (1918), sida 458.",1918
5698,38725,Eric Victor Almquist,"Född:1817-03-07 – Eds församling (AB-län), Stockholms län","Död:1872-12-13 – Umeå stadsförsamling, Västerbottens län","Band 01 (1918), sida 498.",1918
5699,30021,Erik Otto Almquist,"Född:1861-10-07 – Skogs-Tibble församling, Uppsala län",Död:1935,"Band 01 (1918), sida 513.",1918
5700,54066,Ernst B Almquist,"Född:1852-08-10 – Skogs-Tibble församling, Uppsala län",Död:1946,"Band 01 (1918), sida 506.",1918
5701,39280,Gustaf Fridolf Almquist,"Född:1814-10-31 – Eds församling (AB-län), Stockholms län","Död:1886-10-12 – Östertälje församling, Stockholms län","Band 01 (1918), sida 494.",1918
