SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
6918,55370,Sven V Rosendahl,"Född:1913-04-07 – Danderyds församling, Stockholms län","Död:1990-09-08 – Gustav Vasa församling, Stockholms län","Band 30 (1998-2000), sida 503.",1998-2000
6919,128456,Gunnar Rosendal,"Född:1897-04-04 – Grevie församling, Kristianstads län","Död:1988-12-26 – Kristianstads Heliga Trefaldighets församling, Kristianstads län","Band 30 (1998-2000), sida 507.",1998-2000
6920,39098,"Werner Rosenfeldt, von",Född:1639-11 – Estland (i Turgel),"Död:1710-12-05 – Karlskrona stadsförsamling, Blekinge län","Band 30 (1998-2000), sida 516.",1998-2000
6921,42077,"Rosengren, släkt",,,"Band 30 (1998-2000), sida 521.",1998-2000
6927,43191,Ture Rosengren,"Född:1548-11-01 – Vånga församling (E-län), Östergötlands län","Död:1611-05-24 – Vånga församling (E-län), Östergötlands län","Band 30 (1998-2000), sida 519.",1998-2000
6929,43270,Gustaf Rosenhane,"Född:1619-05-19 – Husby-Oppunda församling, Södermanlands län","Död:1684-03-26 – Stockholms domkyrkoförsamling, Stockholms län","Band 30 (1998-2000), sida 535.",1998-2000
6930,32399,Johan Rosenhane,"Född:1611-02-16 – Husby-Oppunda församling, Södermanlands län","Död:1661-07-05 – Linköpings Sankt Lars församling, Östergötlands län","Band 30 (1998-2000), sida 533.",1998-2000
6933,105088,Schering Rosenhane,"Född:1609-07-04 – Husby-Oppunda församling, Södermanlands län",Död:1663-08-06,"Band 30 (1998-2000), sida 524.",1998-2000
6934,45093,Schering Rosenhane,"Född:1754-01-06 – Husby-Oppunda församling, Södermanlands län","Död:1812-11-06 – Husby-Oppunda församling, Södermanlands län","Band 30 (1998-2000), sida 537.",1998-2000
6935,144100,Carl Olof Rosenius,"Född:1816-02-03 – Nysätra församling (AC-län), Västerbottens län","Död:1868-02-24 – Jakobs församling, Stockholms län","Band 30 (1998-2000), sida 540.",1998-2000
