skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
AgnesGeijer,Q4949712,2018-03-08,Louise,Lindblom,Textilforskare,Textile researcher,Geijer,/Agnes/ Teresa
EvaGothlin,Q4950540,2018-03-08,Inger,Eriksson,"Idéhistoriker, Nationella sekretariatet för genusforsknings första föreståndare","Historian of ideas, the first director of the national secreteriat for gender studies",Gothlin,/Eva/ Linnea
AbelaGullbransson,Q4951314,2018-03-08,Anders,Jarlert,"Själavårdare, sångförfattare, aktiv i väckelserörelsen","Pastoral caregiver, writer of hymns, revivalist",Gullbransson,/Abela/ Maria
EllaHillback,Q4954023,2018-03-08,Emma,Tornborg,Författare,Author,Hillbäck,/Ella/ Viola
ElisabetHolm,Q4954452,2018-03-08,Carina,Ridenius,"Politiker, minister","Politician, government minister",Holm,Elisabet
GockenJobs,Q4956741,2018-03-08,Christina,Mattsson,"Keramiker, textilkonstnär","Potter, textile artist",Jobs,Hanna Ingrid Elisabeth (/Gocken/)
AstridAnderberg,Q4959409,2018-03-08,Birgitta,Flensburg,"Konstnär, keramiker","Artist, ceramicist",Anderberg,/Astrid/ Gunborg Maria
CharlotteMannheimer,Q4965426,2018-03-08,Birgitta,Flensburg,"Konstnär, mecenat, konstsamlare","Artist, patron of the arts, art collector",Mannheimer,/Charlotte/ Emma
GerdaMeyerson,Q4967157,2018-03-08,Åsa,Bengtsson,"Filantrop, folkbildare, socialpolitisk debattör","Philanthropist, purveyor of popular education, socio-political debater",Meyerson,/Gerda/ Teresa
AsaNelvin,Q4969146,2018-03-08,Lisbeth,Larsson,Författare,Author,Nelvin,/Åsa/ Kerstin
AdaNilsson,Q4969542,2018-03-08,Kristina,Lundgren,"Läkare, rösträttskvinna, fredsaktivist","Doctor, suffragette, peace activist",Nilsson,/Ada/ Konstantia
EsterBlendaNordstrom,Q4970156,2018-03-08,Birgitta,Ney,"Journalist, författare","Journalist, author",Nordström,/Ester Blenda/ Elisabet
ElsaOlenius,Q4970914,2018-03-08,Karin,Helander,"Bibliotekarie, dramapedagog","Librarian, children&apos;s theatre teacher",Olenius,/Elsa/ Viktoria
EllenPalmstierna,Q4971803,2018-03-08,Lina,Sturfelt,"Fredsaktivist, rösträttskvinna, medgrundare av svenska Rädda Barnen","Peace activist, suffragette, co-founder of Swedish Rädda Barnen (Save the Children)",Palmstierna,Eleonora Wilhelmina (/Ellen/)
AnnaPetrusLyttkens,Q4972692,2018-03-08,Marie,Rehnberg,"Skulptör, grafiker, konsthantverkare","Sculptor, graphic artist, craftsman",Petrus-Lyttkens,/Anna/ Maria Louise
UrsulaRichter,Q4974752,2018-03-08,Kristina,Lundgren,"Radioproducent, programledare","Radio producer, programme presenter",Richter,/Ursula/ Karin Henriette
GertrudSigurdsen,Q4978577,2018-03-08,Lena,Näslund,"Politiker, minister, fackligt verksam","Politician, government minister, active within the trade-union",Sigurdsen,/Gertrud/ Christina
UllaSjoblom,Q4978900,2018-03-08,Rikard,Loman,"Skådespelare, sångare","Actor, singer",Sjöblom,/Ulla/ Maria
MajaSjostrom,Q4979000,2018-03-08,Åsa,Rausing Roos,Textilkonstnär,Textile artist,Sjöström,Maria (/Maja/)
BirgitSparre,Q4979784,2018-03-08,Lisbeth,Larsson,"Författare, journalist, reseskildrare","Author, journalist, travelogue writer",Th Sparre,Signe /Birgit/ Julia Fredrika
BeritSpong,Q4979854,2018-03-08,Gunnel,Furuland,Författare,Author,Spong,/Berit/ Gustava Frideborg
EvaSpangberg,Q4979884,2018-03-08,Jöns,Posse,"Konstnär, träsnidare, andlig förkunnare","Artist, wood-carver, preacher",Spångberg,/Eva/ Margareta
RosaTaikon,Q4981944,2018-03-08,Ida,Ohlsson Al Fakir,"Silversmed, samhällsdebattör, medborgarrättsaktivist","Silversmith, social debater, Roma civic rights activist",Taikon,/Rosa/ Sofia Ingeborg
EvaVilhelminaJuliavonBahr,Q10492595,2018-03-08,Hedvig,Hedqvist,"Fysiker, lärare, Sveriges första kvinnliga docent i fysik","Physician, teacher, Sweden's first female docent in physics",von Bahr-Bergius,/Eva/ Vilhelmina Julia
HjordisHjalmarsdotterHjorth,Q10524975,2018-03-08,Anna,Lindqvist,"Modeskapare, formgivare","Couturier, designer",Hjalmarsdotter Hjorth,/Hjördis/ Vilhelmina
EmilieCharlottaRisberg,Q13563726,2018-03-08,Lisbeth,Larsson,"Lärare, skolgrundare, författare","Teacher, school founder, author",Risberg,/Emilie/ Charlotta
NellWalden,Q13581087,2018-03-08,Jessica,Sjöholm Skrubbe,"Konstnär, konstsamlare, gallerist","Artist, art collector, gallerist",Walden,Nelly (/Nell/) Anna Charlotta
EvaJanckeBjork,Q15918029,2020-03-02,Birgitta,Flensburg,"Formgivarpionjär, konstnär, keramiker","Pioneering designer, artist, ceramist",Jancke-Björk,/Eva/ Henriette
BritaEgardt,Q16594631,2018-03-08,Barbro,Blehr,Etnolog,Ethnologist,Egardt,/Brita/ Sigrid Anna Lovisa
DoraJacobsohn,Q16595323,2018-03-08,Ulf,Högberg,"Läkare, forskare i neurofysiologi","Doctor, researcher in neurophysiology",Jacobsohn,/Dora/ Elisabeth
AmaliaLundeberg,Q16595724,2018-03-08,Carina,Lidström,"Författare, reseskildrare","Author, travelogue writer",Lundeberg,Maria /Amalia/ Fredrika
ThrinaLysell,Q16595748,2018-03-08,Louise,Lönnroth,"Lärare, skolföreståndare","Teacher, school director",Lysell,Cathrina (/Thrina/)
ChristinaCharlottaHjarne,Q16596225,2018-03-08,Eva,Haettner Aurelius,"Donator, herrnhutare, dagboksförfattare","Donor, Moravian devotee, autobiographical writer",Hjärne,/Christina Charlotta/
ElnaTenow,Q16596571,2018-03-08,Eva,Heggestad,"Författare, samhällsdebattör, djurrättsaktivist","Author, social debater, animal rights activist",Tenow,/Elna/ Lovisa Johanna
ElsaBritaNordlund,Q16946340,2018-03-08,Elisabeth,Punzi,"Läkare, barnpsykiater","Doctor, children's psychiatrist",Nordlund,/Elsa-Brita/
FilippaRolf,Q16946437,2018-03-08,Magnus,Bergh,"Bibliotekarie, författare, översättare","Librarian, author, translator",Rolf,Anna /Filippa/
JeannaBauck,Q19422204,2018-03-08,Margareta,Gynning,Konstnär,Artist,Bauck,/Jeanna/ Maria Charlotta
CelieBrunius,Q19843500,2018-03-08,Birgitta,Ney,"Journalist, författare","Journalist, author",Brunius,Gerda Cecilia (/Célie/)
EsterClaesson,Q20871860,2018-03-08,Catharina,Nolin,"Trädgårdsarkitekt, lärare, skribent","Landscape architect, teacher, writer",Claesson,/Ester/ Laura Matilda
RosaMalmstrom,Q22696952,2018-03-08,Inger,Eriksson,"Bibliotekarie, grundare av Kvinnohistoriskt arkiv/KvinnSam","Librarian, founder of KvinnSam",Malmström,/Rosa/ Astrid Tyra
KerstinEidlitzKuoljok,Q22911428,2018-03-08,Anne,Heith,"Etnolog, författare","Ethnologist, author",Eidlitz Kuoljok,/Kerstin/ Monika
AlmaAkermark,Q23988692,2018-03-08,Inger,Eriksson,"Redaktör för Framåt, kvinnosakskvinna","Editor of Framåt, promoter of women's issues",Åkermark,/Alma/ Mathilda
ElisabetWisenJobs,Q27654751,2018-03-08,Christina,Mattsson,"Konstnär, brodös, centralgestalt i konstnärskolonin Jobs","Artist, embroiderer, central figure in the Jobs artists colony",Wisén-Jobs,Ruth /Elisabet/
BirgitLindvall,Q28025662,2018-03-08,Christina,Lindvall-Nordin,"Konstnär, textilkonstnär","Artist, textile artist",Lindvall,Tyra /Birgit/
BarbroHeleneSprinchorn,Q43261880,2018-03-08,Barbro,Björk,Textilkonstnär,Textile artist,Sprinchorn,/Barbro/ Helene
AnnaTaskomakare,Q50377582,2018-03-08,Gabriela,Bjarne Larsson,"Affärskvinna, fastighetsägare","Businesswoman, property owner",,/Anna taskomakare/
