skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
AnnaMariaEhrenstrahl,Q371351,2018-03-08,Brita,Planck,Konstnär,Artist,Ehrenstrahl,/Anna Maria/
IngridGardeWidemar,Q406819,2018-03-08,Andreas,Anderberg,"Jurist, justitieråd, politiker","Lawyer, Justice of the Supreme Court, politician",Gärde Widemar,/Ingrid/
ElfridaAndree,Q451495,2018-03-08,Eva,Öhrström,"Kompositör, Sveriges första kvinnliga domkyrkoorganist och dirigent","Composer, first female cathedral organ-player and conductor in Sweden",Andrée,/Elfrida/
EsterRingnerLundgren,Q454629,2018-03-08,Marianne,Ringnér,Författare,Author,Ringnér-Lundgren,/Ester/ Maria
SonjaAkesson,Q455372,2018-03-08,Eva,Lilja,Författare,Author,Åkesson,/Sonja/ Bertha Maria
AnnaLenaLofgren,Q462906,2018-03-08,Lennart K,Persson,Sångare,Singer,Löfgren,/Anna-Lena/
AlfhildAgrell,Q469339,2018-03-08,Lisbeth,Larsson,"Författare, dramatiker","Author, playwright",Agrell,/Alfhild/ Theresia
SophieElkan,Q476144,2018-03-08,Eva Helen,Ulvros,Författare,Author,Elkan,/Sophie/
AnnalisaEricson,Q580262,2018-03-08,Jennifer,Vintkvist,"Skådespelare, dansare, revyartist","Actor, dancer, revue artist",Ericson,/Annalisa/
BirgitTengroth,Q803937,2018-03-08,Tytti,Soila,"Skådespelare, författare","Actor, author",Tengroth,Birgitta (/Birgit/) Eva
DagmarEdqvist,Q1157266,2018-03-08,Lisbeth,Larsson,Författare,Author,Edqvist,/Dagmar/ Ingeborg
EvaEkeblad,Q1393227,2018-03-08,Eva,Lenneman,"Grevinna, riksrådinna, Kungl. Vetenskapsakademiens första kvinnliga ledamot","Countess, wife of a privy councillor, first woman to be appointed to Kungl. Vetenskapsakademien",Ekeblad,/Eva/
MiaLecheLofgren,Q1679990,2018-03-08,Lisbeth,Larsson,"Författare, fredsaktivist, antinazist","Author, peace activist, anti-Nazi",Leche Löfgren,Ebba Maria Lovisa (/Mia/)
TeklaNordstrom,Q2401130,2018-03-08,Lena,Johannesson,"Konstnär, xylograf, fotograf","Artist, xylographer, photographer",Nordström,/Tekla/ Vilhelmina
AgnesdeFrumerie,Q2827030,2018-03-08,Irja,Bergström,"Konstnär, skulptur","Artist, sculptor",de Frumerie,/Agnes/ Eleonora Augusta Emilia
IngeborgAkesdotterTott,Q3026430,2018-03-08,Thomas,Lindkvist,"Politiskt inflytelserik adelsdam, godsägare, donator",Politically influential noblewoman,Åkesdotter (Tott),/Ingeborg/
LovisaAhrberg,Q3243531,2018-03-08,Maria,Sjöberg,"Självlärd läkare, läkekvinna",Self-taught medical doctor,Åhrberg,Maria /Lovisa/
MareKandre,Q3743817,2018-03-08,Evelina,Ivarsson,Författare,Author,Kandre,/Mare/ Ingrid
EbbaHenrietteBernadotte,Q4346031,2018-03-08,Charlotte,Tornbjer,"Prinsessa, filantrop","Princess, philanthropist",Bernadotte,/Ebba/ Henriette
SifRuud,Q4346227,2018-03-08,Evelina,Ivarsson,Skådespelare,Actor,Ruud,/Sif/ Einarsdotter
AnnaBielke,Q4766985,2018-03-08,Maria,Sjöberg,"Adelsdam, försvarsledare","Noblewoman, leader of the defence",Eriksdotter (Bielke),/Anna/
AnnaSterky,Q4767510,2018-03-08,Christina,Carlsson Wetterberg,"Politiker, facklig pionjär, kvinnosakskvinna","Politician, trade union pioneer, feminist",Sterky,Ane (/Anna/) Cathrine
AugustaLundin,Q4820946,2018-03-08,Emma,Severinsson,"Sömmerska, modeföretagare","Seamstress, fashion industry pioneer",Lundin,/Augusta/
MargitAbenius,Q4933592,2018-03-08,Marta,Ronne,"Forskare, litteraturkritiker","Researcher, literary critic",Abenius,Margareta (/Margit/) Ulrika
MariaAdlercreutz,Q4933894,2018-03-08,Patrik,Steorn,"Textilkonstnär, politisk debattör","Textile artist, political debater",Adlercreutz,Anne-Marie (/Maria/)
AnnaBrittAgnsater,Q4934364,2018-03-08,Richard,Tellström,"Provkökschef, kokboksförfattare, folkbildare","Test-kitchen manager, cookbook author, purveyor of popular education",Agnsäter,/Anna-Britt/ Elisabet
ElinAmeen,Q4935442,2018-03-08,Gunnel,Furuland,Författare,Author,Améen,/Elin/
IngridAndersson,Q4935813,2018-03-08,Lisbeth,Larsson,Författare,Author,Andersson,/Ingrid/ Svea Margareta
KajAndersson,Q4935831,2018-03-08,Birgitta,Ney,"Journalist, redaktör","Journalist, editor",Andersson,Karin (/Kaj/) Matilda
LilyBerglund,Q4938524,2018-03-08,Lennart K,Persson,"Sångare, revyartist","Singer, actress",Berglund,/Lily/ Linnea
EllenBergman,Q4938547,2018-03-08,Lisbeth,Larsson,"Koreograf, regissör, danspedagog","Choreographer, director, dance pedagogue",Bergman,/Ellen/ Anna
MajBrihtBergstromWalan,Q4938714,2018-03-08,Elisabeth,Elgán,"Psykolog, sexolog","Psychologist, sexologist",Bergström-Walan,Sonja /Maj-Briht/ Linnéa
MariaChristinaBruhn,Q4940924,2018-03-08,Peter,Du Rietz,"Företagare, uppfinnare","Entrepreneur, inventor",Bruhn,/Maria Christina/
EbbaMariaDelaGardie,Q4944386,2018-03-08,Maria,Sjöberg,"Hovdam, författare","Lady-in-waiting, author",De la Gardie,/Ebba Maria/
AlmaDetthow,Q4944704,2018-03-08,Esbjörn,Larsson,"Lärare, skolgrundare, filantrop","Teacher, school founder, philanthropist",Detthow,/Alma/ Fredrika Mathilda
GerdEnequist,Q4946690,2018-03-08,Gunnel,Forsberg,Professor i kulturgeografi,Professor of cultural geography,Enequist,/Gerd/ Margareta
MarianneFrankenhaeuser,Q4948724,2018-03-08,Elisabeth,Punzi,"Psykolog, forskare","Psychologist, researcher",Frankenhaeuser,/Marianne/
MarieLouiseGagner,Q4949374,2018-03-08,Martin,Karlsson,"Filmcensor, författare, pedagog","Cinema censor, author, teacher",Gagner,/Marie Louise/ Hélène Charlotte
EstherGehlin,Q4949708,2018-03-08,Karin,Gustavsson,"Konstnär, textilkonstnär","Artist, textile artist",Gehlin,/Esther/
BrittaGrondahl,Q4951174,2018-03-08,Ulrika,Holgersson,"Översättare, journalist, syndikalist","Translator, journalist, syndicalist",Gröndahl,/Britta/
WalborgHedberg,Q4953082,2018-03-08,Nils,Håkansson,Översättare,Translator,Hedberg,/Walborg/ Maria
RutHillarp,Q4954003,2018-03-08,Annelie,Bränström-Öhman,"Författare, poet","Author, poet",Hillarp,/Rut/ Gunhild
MajHirdman,Q4954113,2018-03-08,Yvonne,Gröning,Författare,Author,Hirdman,Anna Maria (/Maj/)
DorisHavik,Q4955378,2018-03-08,Inger,Eriksson,"Riksdagsledamot, FN-delegat","Member of parliament (Swedish Riksdag), delegate to the United Nations",Håvik,Inga /Doris/ Helena
SigneHojer,Q4955470,2018-03-08,Annika,Berg,"Politiker, fredsaktivist, utredare","Politician, peace activist, commissioner",Höjer,Thyra /Signe/ Elisabeth
EmmaJacobsson,Q4956130,2018-03-08,Viveka,Overland,"Filantrop, grundare av Bohus stickning","Philanthropist, founder of Bohus stickning",Jacobsson,/Emma/ Charlotte
LisskullaJobs,Q4956742,2018-03-08,Christina,Mattsson,Skådespelare,Actor,Jobs,Karin Helfrid (/Lisskulla/)
BarbroJohansson,Q4956908,2018-03-08,Birgitta,Larsson,"Missionär, lärare, tanzanisk parlamentsledamot","Missionary, teacher, member of the National Assembly of Tanzania",Johansson,/Barbro/ Cecilia
JuliavonSneidern,Q4958818,2018-03-08,Ulrika,Nilsson,"Läkare, sexualupplysare, rösträttskvinna","Doctor, sexual educator, suffragette",von Sneidern,Julia
ElseKleen,Q4959057,2018-03-08,Kristina,Lundgren,Journalist,,Kleen,/Else/
GunhildKyle,Q4960259,2018-03-08,Maria,Sjöberg,Professor i kvinnohistoria,Professor of women's history,Kyle,/Gunhild/ Maria
AgnesLagerstedt,Q4960567,2018-03-08,Ann-Katrin,Hatje,"Lärare, filantrop, initiativtagare till AB Stockholms Arbetarehem","Teacher, philanthropist, creator of AB Stockholms Arbetarehem",Lagerstedt,/Agnes/ Hedvig Charlotta
LenaLarsson,Q4961100,2018-03-08,Sara,Kristoffersson,"Inredningsarkitekt, journalist","Interior decorator, journalist",Larsson,/Lena/ Christina
GurliLinder,Q4962635,2018-03-08,Henric,Bagerius,"Dräktreformator, kvinnosakskvinna, litteraturkritiker","Leader of the dress reform movement, promoter of women's issues, literary critic",Linder,Ane /Gurli/
MargaretJohanssonMargrethMaard,Q4968713,2018-03-08,Lennart K,Persson,"Sångare, revyartist","Singer, cabaret artist",Johansson (Margreth Måård),/Margaret/ Lilian Christine
BritaOlofsdotterTott,Q4969202,2018-03-08,Henrik,Janson,"Godsägare, adelsdam","Property owner, noblewoman",Olofsdotter (Tott),Birgitta (/Brita/)
CeciliaAinaNettelbrandt,Q4969234,2018-03-08,Maria,Sjöberg,"Politiker, riksdagsledamot, ambassadör","Politician, member of parliament, ambassador",Nettelbrandt,/Cecilia/ Aina
AnnaNordlander,Q4970064,2018-03-08,Birgitta,Flensburg,Konstnär,Artist,Nordlander,/Anna/ Catharina
MathildaBeatrixValerianaMariadellaTrinitaGyllenhaal,Q4971348,2018-03-08,Karin,Wiberg,"Salongsvärdinna, författare, kompositör","Hostess of cultural salons, author, composer",Gyllenhaal,/Mathilda/ Beatrix Valeriana Maria della Trinita
HildurOttelin,Q4971483,2018-03-08,Kerstin E,Wallin,"Bostadsinspektör, politiker, filantrop","Housing inspector, politician, philanthropist",Ottelin,/Hildur/
MagdalenaRahm,Q4973919,2018-03-08,Brita,Planck,"Friherrinna, salongsvärdinna, politisk opinionsbildare","Noblewoman, hostess of cultural salons, influencer of political opinion",Rahm,/Magdalena/ Elisabeth
EmilieRathou,Q4974163,2018-03-08,Åsa,Bengtsson,"Rösträttskvinna, pionjär inom nykterhetsrörelsen","Suffragette, pioneer within the temperance movement",Rathou,/Emilie/
MagdalenaRudenschold,Q4975813,2018-03-08,My,Hellsing,"Grevinna, hovdam, politisk konspiratör","Countess, lady-in-waiting, political conspirator",Rudenschöld,/Magdalena/ Charlotta
AnnaRydstedt,Q4976166,2018-03-08,Anna,Smedberg Bondesson,"Författare, poet",Author,Rydstedt,/Anna/ Viola Magdalena
SophieSager,Q4976451,2018-03-08,Gunnel,Furuland,"Författare, kvinnosakskvinna","Author, promoter of women's issues",Sager,/Sophie/ Lisette
MariaSandel,Q4976841,2018-03-08,Eva,Borgström,"Textilarbetare, författare","Textile worker, author",Sandel,/Maria/ Gustafva Albertina
NinnanSantesson,Q4976986,2018-03-08,Irja,Bergström,"Konstnär, skulptör","Artist, sculptor",Santesson,Gertrud Paulina (/Ninnan/)
MarieSophieSchwartz,Q4977660,2018-03-08,Yvonne,Leffler,"Författare, debattör","Author, polemicist",Schwartz,/Marie Sophie/
VendelaSkytte,Q4979201,2018-03-08,Maria,Sjöberg,"Adelsdam, salongsvärdinna","Noblewoman, hostess of cultural salons",Skytte,/Vendela/
BirgittaStenberg,Q4980239,2018-03-08,Jan,Magnusson,Författare,Author,Stenberg,/Birgitta/ Alma Sofia
NannaSvartz,Q4981402,2018-03-08,Ulrika,Nilsson,"Läkare, läkemedelsforskare, professor","Doctor, medicinal researcher, professor",Svartz,/Nanna/ Charlotta
MargitSoderholm,Q4981822,2018-03-08,Bibi,Jonsson,Författare,Author,Söderholm,/Margit/ Charlotta
WalborgThorsell,Q4982675,2018-03-08,A. Johannes,Johansson,"Parasitolog, biolog, biokemist","Parasitologist, biologist, biochemist",Thorsell,/Walborg/ Susanna
NellyThuring,Q4982770,2018-03-08,Malin,Arvidsson,"Fotograf, politiker, riksdagsledamot","Photographer, politician, member of parliament",Thüring,/Nelly/ Maria
YingToijerNilsson,Q4983037,2018-03-08,Birgitta,Theander,"Litteraturforskare, barnbokskritiker","Literary scholar, children's book reviewer",Toijer-Nilsson,/Ying/ Hillevi
WivecaBillquist,Q4987511,2018-03-08,Emma,Severinsson,TV-producent,TV producer,Billquist,/Wiveca/ Lena Margareta
EvaLowen,Q4989142,2018-03-08,Brita,Planck,"Adelsdam, spion","Noblewoman, spy",Löwen,/Eva/ Helena
BirgitStahlNyberg,Q4989823,2018-03-08,Birgitta,Flensburg,"Konstnär, samhällsdebattör","Artist, polemicist",Ståhl-Nyberg,/Birgit/ Ellida
AnnaWahlenberg,Q4990085,2018-03-08,Eva,Heggestad,Författare,Author,Wahlenberg,/Anna/ Maria Lovisa
RiaWagner,Q4990759,2018-03-08,Marja,Wallmark,"Journalist, programledare, TV-producent","Journalist, TV host, TV producer",Wägner,Maria (/Ria/)
CharlottaOberg,Q4991091,2018-03-08,Lisbeth,Larsson,"Författare, poet","Author, poet",Öberg,Maria /Charlotta/
Maryrvig,Q4991147,2018-03-08,Birgitta,Theander,"Bibliotekarie, chef för Svenska barnboksinstitutet, barnlitteraturforskare","Librarian, head of the Swedish Institute for Children’s Books, researcher on children's literature",Ørvig,/Mary/ Rosa
FredriquePaijkull,Q15630257,2018-03-08,Anna,Eklundh Jonsson,"Lärare, skolledare","Teacher, school principal",Paijkull,Fredrika Augusta (/Fredrique/)
GunBergman,Q15695053,2018-03-08,Ljubica,Miocevic,"Översättare, språkforskare, journalist","Translator, scholar in languages, journalist",Bergman,Gunvor (/Gun/) Marianne
EbbaNordenadler,Q15718105,2018-03-08,Cecilia,Schwartz,"Författare, översättare","Author, translator",Nordenadler,/Ebba/ Karolina Magdalena
HildaEricsson,Q18238701,2018-03-08,Bodil,Hasselgren,"Företagare, Telefonaktiebolaget LM Ericsson","Leader of an enterprise, Telephone company LM Ericsson",Ericsson,/Hilda/ Carolina
LauraPetri,Q18613113,2018-03-08,Gunilla,Gunner,"Frälsningssoldat, kyrkohistoriker","Salvationist, ecclesiastical historian",Petri,Ingrid /Laura/ Hildur
AlmaBraathen,Q20749150,2018-03-08,Birgit,Petersson,"Journalist, krigskorrespondent","Journalist, war correspondent",Braathen,/Alma/ Charlotte Svanhild
BerthaNordensson,Q22666128,2018-03-08,Birgitta,Wistrand,"Rösträttskvinna, kvinnosakskvinna","Suffragette, promoter of women's issues",Nordenson,/Bertha/ Harriet
MartaLeijon,Q23989153,2018-03-08,Ann-Sofie,Ohlander,"Författare, politiker, debattör","Author, politician, polemicist",Leijon,/Märta/ Kristina
MajaBeskow,Q28025652,2018-03-08,Karin,Holmgren,"Teckningslärare, pionjär inom pedagogik","Drawing instructor, educational pioneer",Beskow,Nanna Maria (/Maja/) Kristina
SiriRathsman,Q28840687,2018-03-08,Linda,Fagerström,"Konstnär, grafiker, journalist","Artist, graphic artist, journalist",Rathsman,/Siri/ Lovisa
MathildaHamilton,Q28967407,2018-03-08,Sara,Sjöström,"Företagare, missionär","Company owner, missionary",Hamilton,/Mathilda/ Christina
AnneMarieThunberg,Q37016101,2018-03-08,Hanna,Stenström,"Socialsekreterare, författare, ekumeniskt engagerad","Social welfare secretary, author, active within ecumenical efforts",Thunberg,Sara /Anne-Marie/
SonjaBrantingWesterstahl,Q45896660,2018-03-08,Christina,Carlsson Wetterberg,"Jurist, advokat","Legal practitioner, lawyer",Branting-Westerståhl,Sonja
EllenSylviaBlind,Q50368933,2018-03-08,Anne,Heith,"Författare, delaktig i skapandet av det moderna samiska skriftspråket","Author, contributed to creating the modern written form of the Sami languages",Blind,/Ellen-Sylvia/
CarinUlin,Q50512436,2018-03-08,Elisabeth,Punzi,Barnpsykolog,Child psychologist,Ulin,Hedvig /Carin/
WilhelminaSvensson,Q50680643,2018-03-08,Pia,Lundqvist,"Missionär, lärare, psalmförfattare","Missionary, teacher, hymn writer",Svensson,Christina /Wilhelmina/
MajaSchmidt,Q50763948,2018-03-08,Fia,Sundevall,Rikslottachef,National head of the 'lotta' corps,Schmidt,Viva Maria (/Maja/) Charlotta
EmmaIsakson,Q50799543,2018-03-08,Marianne,Söderberg,"Presspionjär, ansvarig utgivare för Norrbottens-Kuriren","Pioneer in newspaper publishing, newspaper proprietor",Isakson,/Emma/ Josefina
ZarahLeander,Q46479,2018-03-08,Tiina,Rosenberg,"Sångare, skådespelare, revyartist","Singer, actor, cabaret artist",Leander,Sara Stina (/Zarah/)
Sofiadrottning,Q130408,2018-03-08,Louise,Lindblom,"Drottning av Sverige, filantrop","Queen of Sweden, philanthropist",,"/Sofia/, drottning"
AnitaEkberg,Q230662,2018-03-08,Jennifer,Vintkvist,"Skådespelare, fotomodell","Actor, photographer's model",Ekberg,Kerstin /Anita/ Marianne
LovisaUlrikadrottning,Q234251,2018-03-08,Merit,Laine,Drottning av Sverige,Queen of Sweden,,"/Lovisa Ulrika/, drottning"
HedvigElisabetCharlottadrottning,Q236208,2018-03-08,My,Hellsing,Drottning av Sverige och Norge,Queen of Sweden and Norway,,"/Hedvig Elisabet Charlotta/, drottning"
SofiaAlbertinaprinsessa,Q261929,2018-03-08,My,Hellsing,Prinsessa av Sverige,Princess of Sweden,,"/Sofia Albertina/, prinsessa"
ElinWagner,Q270468,2018-03-08,Bibi,Jonsson,"Författare, rösträttskvinna, fredsaktivist","Author, suffragette, peace activist",Wägner,/Elin/ Mathilda Elisabeth
AlfhildTamm,Q302106,2018-03-08,Elisabeth,Punzi,"Psykiater, psykoanalytiker","Psychiatrist, psychoanalyst",Tamm,/Alfhild/
AnnaBranting,Q434056,2018-03-08,Lisbeth,Larsson,"Journalist, författare, kritiker","Journalist, author, critic",Branting,/Anna/ Mathilda Charlotta
HannaPauli,Q436803,2018-03-08,Margareta,Gynning,Konstnär,Artist,Pauli,/Hanna/
AuroravonKonigsmarck,Q440427,2018-03-08,Dag,Hedman,"Författare, kulturpersonlighet, administrator för Quedlinburgs jungfrustift","Author, cultural personality, administrator for the noble secular canonesses in Quedlinburg",von Königsmarck,Maria /Aurora/
ValborgAulin,Q451402,2018-03-08,Eva,Öhrström,"Pianist, kompositör, musikpedagog","Pianist, composer, music teacher",Aulin,Laura /Valborg/
TorunBulowHube,Q458135,2018-03-08,Birgitta,Flensburg,"Silversmed, smyckekonstnär","Silversmith, jeweler",Bülow-Hübe,Vivianna /Torun/
KatarinaTaikon,Q466523,2018-03-08,Ida,Ohlsson Al Fakir,"Författare, samhällsdebattör, medborgarrättsaktivist","Author, social debater, Roma civic rights activist",Taikon,/Katarina/ Maria
IngegerdTroedsson,Q517762,2018-03-08,Ann-Marie,Petersson,"Politiker, minister, riksdagens talman","Politician, minister, speaker of the Riksdag",Troedsson,/Ingegerd/
MartaHelenaReenstiernaArstafrun,Q517853,2018-03-08,Christina,Sjöblad,"Lantbrukare, dagboksförfattare","Farmer, diary keeper",Reenstierna (Årstafrun),/Märta Helena/
SophieAdolphineAdlersparre,Q531174,2018-03-08,Maria,Sjöberg,"Konstnär, porträttmålare, kopist","Artist, portrait painter, copyist",Adlersparre,/Sophie/ Adolphine
AnnaLisaWarnlof,Q561698,2018-03-08,Birgitta,Theander,"Författare, kåsör","Author, columnist",Wärnlöf,/Anna Lisa/
JennyNystrom,Q3100592,2018-03-08,Barbro,Johnsson,"Konstnär, illustratör","Artist, illustrator",Nyström,/Jenny/ Eugenia
MariaRohl,Q3307830,2018-03-08,Ulrika,Strömquist,"Konstnär, porträttmålare","Artist, portrait painter",Röhl,/Maria/ Christina
AnnaMariaThelott,Q3307858,2018-03-08,Anna Lena,Lindberg,Konstnär,Artist,Thelott,/Anna Maria/
EvaRemaeus,Q3373253,2018-03-08,Sara,Granath,"Skådespelare, programledare","Actor, TV-presenter",Remaeus,/Eva/ Britt
CarinMannheimer,Q3427896,2018-03-08,Lisbeth,Larsson,"Författare, regissör","Author, director",Mannheimer,/Carin/ Birgitta
MarianneLofgren,Q3431866,2018-03-08,Jennifer,Vintkvist,Skådespelare,Actor,Löfgren,Jeannette Wedday /Marianne/ Ida Carolina
SophieHagman,Q3490945,2018-03-08,Marie,Steinrud,"Balettdansös, kunglig mätress","Ballet dancer, royal mistress",Hagman,Anna Stina (/Sophie/)
TuijaLydiaElisabethLindstrom,Q4262020,2018-03-08,Anna,Tellgren,"Fotograf, professor","Photographer, professor",Lindström,/Tuija/ Lydia Elisabeth
AgdaMontelius,Q4691673,2018-03-08,Elisabeth,Arwill-Nordbladh,"Rösträttskvinna, filantrop","Suffragette, philanthropist",Montelius,/Agda/ Georgina Dorothea
AgdaRossel,Q4691675,2018-03-08,Nina,Almgren,"Ambassadör, FN-delegat","Ambassador, delegate to the UN",Rössel,/Agda/ Viola
AgnesBorjesson,Q4693023,2018-03-08,Birgitta,Flensburg,Konstnär,Artist,Börjesson,Agneta Fredrika (/Agnes/)
AnnaMyrberg,Q4767368,2018-03-08,Christina,Mattsson,"Visförfattare, kåsör, underhållare","Ballad-composer, columnist, entertainer",Myrberg,/Anna/ Fredrika
MartaAfzelius,Q4933996,2018-03-08,Birgitta,Flensburg,Textilkonstnär,Textile artist,Afzelius,/Märta/
CatharinaAhlgren,Q4934495,2018-03-08,Margareta,Björkman,"Redaktör, journalist, översättare","Editor, journalist, translator",Ahlgren,/Catharina/
EvaAlexanderson,Q4934869,2018-03-08,Karin,Lindeqvist,"Författare, översättare, samhällsdebattör","Author, translator, societal debater",Alexanderson,/Eva/ Ingrid Elisabet
AnneMarieAlfvenEriksson,Q4934997,2018-03-08,Lisbeth,Larsson,Bibliotekarie,Librarian,Alfvén Eriksson,/Anne-Marie/
AnnastinaAlkman,Q4935076,2018-03-08,Inger,Eriksson,"Journalist, översättare, författare","Journalist, translator, author",Alkman,/Annastina/
GretaArwidsson,Q4936707,2018-03-08,Birgit,Arrhenius,"Arkeolog, landsantikvarie, professor","Archaeologist, county custodian of antiquities, professor",Arwidsson,/Greta/
SallyBauer,Q4937741,2018-03-08,Helena,Tolvhed,Simmare,Swimmer,Bauer,/Sally/ Viola
KajBeckman,Q4937885,2018-03-08,Birger,Hedén,"Konstnär, illustratör, författare","Artist, illustrator, author",Beckman,Karin (/Kaj/)
IngridBjornberg,Q4939369,2018-03-08,Charlotte,Tornbjer,"Barnsköterska hos svenska kungafamiljen, åldfru","Nanny for the Swedish royal family, royal housekeeper",Björnberg,Hildur /Ingrid/ Margareta
SigneBjornbergSiggeStark,Q4939373,2018-03-08,Yvonne,Leffler,Författare,Author,Björnberg (Sigge Stark),/Signe/
SigridBlomberg,Q4939597,2018-03-08,Birgitta,Flensburg,"Konstnär, skulptör","Artist, sculptor",Blomberg,Emma Emilia /Sigrid/ Charlotte
CarinMargaretaBoalt,Q4939679,2018-03-08,Maria,Sjöberg,"Professor i byggnadsfunktionslära, opinionsbildare","Professor, inflencer of public opinion",Boalt,/Carin/ Margareta
ElsaBorg,Q4940090,2018-03-08,Pia,Lundqvist,"Filantrop, socialarbetare","Philanthropist, social worker",Borg,Elisabeth (/Elsa/) Dionysia
CatharinaBroome,Q4940818,2018-03-08,Katrin,Åmell,"Nunna, författare, journalist","Nun, author, journalist",Broomé,/Catharina/ Birgitta Anna
EmiliaBroome,Q4940821,2018-03-08,Marie,Steinrud,"Politiker, rösträttskvinna, fredsaktivist","Politician, suffragette, peace activist",Broomé,/Emilia/ Augusta Clementina
ElinCederblom,Q4942361,2018-03-08,Ulrika,Lagerlöf Nilsson,"Lärare, föreläsare, sexualupplysare","Teacher, lecturer and writer on social and sexual matters",Cederblom,/Elin/
MonaLisaEnglund,Q4943626,2018-03-08,Lennart K,Persson,Elitidrottare,Top-level sportswoman,Englund,/Mona-Lisa/
SiriDahlquist,Q4944048,2018-03-08,Boel,Hössjer Sundman,"Psalmförfattare, teolog","Hymn writer, theologian",Dahlquist,Sigrid Hedvig Naëmi (/Siri/)
BeatriceDickson,Q4944790,2018-03-08,Maria,Sjöberg,"Pionjär inom nykterhetsrörelsen, filantrop","Pioneer of the abstinence movement, philanthropist",Dickson,Cecilia Elise /Beatrice/
DagmarEbbesen,Q4945608,2018-03-08,Ulrika,Holgersson,Skådespelare,Actor,Ebbesen,/Dagmar/ Wilhelmina
FredrikaEhrenborg,Q4945884,2018-03-08,Gunnel,Furuland,"Författare, swedenborgian","Author, influenced by Emanuel Swedenborg",Ehrenborg,Anna /Fredrika/
HelenaEkblomPredikareLena,Q4946043,2018-03-08,Anders,Jarlert,Predikant,Preacher,Ekblom (Predikare-Lena),/Helena/ Sophia
AnnElefalk,Q4946278,2018-03-08,Tomas,Nilson,"Idrottare, dambandyns rikskonsulent, damlandslagets första förbundskapten","Sportswoman, manager of national women&apos;s bandy team",Elefalk,Ann-Britt Maria (/Ann/)
BritaElmen,Q4946541,2018-03-08,Ann-Katrin,Hatje,"Politiker, riksdagsledamot","Politician, member of parliament",Elmén,/Brita/ Dagmar
PhebeFjellstrom,Q4948221,2018-03-08,Katarina,Ek-Nilsson,Professor i etnologi,Professor of ethnology,Fjellström,/Phebe/ Maria
LouiseFlodin,Q4948326,2018-03-08,Kristina,Lundgren,"Typograf, tidningsutgivare, publicist","Typographer, newspaper proprietor, journalist",Flodin,Charlotta Lovisa (/Louise/)
EmiliaFogelklou,Q4948398,2018-03-08,Ingrid,Meijling Bäckman,"Teolog, författare, föreläsare","Theologian, author, lecturer",Fogelklou,/Emilia/ Maria
SofiaGumaelius,Q4951333,2018-03-08,Ewonne,Winblad,"Företagare, rösträttskvinna","Entrepreneur, suffragette",Gumaelius,/Sofia/ Lovisa
KjerstinGoranssonLjungman,Q4951765,2018-03-08,Sara,Kärrholm,"Arkitekt, författare","Architect, author",Göransson-Ljungman,/Kjerstin/ Gertrud Elisabet
LouiseEuphrosyneHagberg,Q4951912,2018-03-08,Fredrik,Skott,Folkminnesforskare,Folklore-researcher,Hagberg,/Louise/ Euphrosyne
EllenRoosvalvonHallwyl,Q4952238,2018-03-08,Irja,Bergström,"Konstnär, skulptör","Artist, sculptor",Roosval von Hallwyl,/Ellen/ Fredrika Wilhelmina
AttiJohansson,Q4956904,2018-03-08,Barbro,Björk,"Konstnär, samhällsdebattör, miljöaktivist","Artist, social debater, environmentalist",Johansson,Agda Theresia Eufemia (/Atti/)
HannaCeciliaCillaJohnson,Q4957160,2018-03-08,Lisbeth,Larsson,Översättare,Translator,Johnson,Hanna Cecilia (/Cilla/)
NinniKronberg,Q4959967,2018-03-08,Peter,Du Rietz,"Företagare, uppfinnare","Company owner, inventor",Kronberg,Maria Johanna (/Ninni/)
OlgaLanner,Q4960861,2018-03-08,Märta,Holkers,"Konstnär, skulptör, ädelsmed","Artist, sculptor, jeweller",Lanner,/Olga/ Maria
AnnaLarsson,Q4961034,2018-03-08,Lennart K,Persson,Löpare,Runner,Larsson,/Anna/ Karolina
SigridLeijonhufvud,Q4961641,2018-03-08,Leif,Gidlöf,"Författare, kvinnosakskvinna, personhistoriker","Author, promoter of women's issues, biographer",Leijonhufvud,/Sigrid/ Amalia
GertrudLilja,Q4962138,2018-03-08,Maria,Nilson,Författare,Author,Lilja,/Gertrud/ Linnéa
EsterLindin,Q4962841,2018-03-08,Kristina,Fjelkestam,"Författare, lärare","Author, teacher",Lindin,/Ester/ Elisabet
MariaMagdalenaMathsdotter,Q4966313,2018-03-08,Anne,Heith,"Skolgrundare, samisk medborgarrättsaktivist","School founder, sami civil rights activist",Mathsdotter,/Maria Magdalena/
HelenaMunktell,Q4968368,2018-03-08,Karin,Wiberg,"Kompositör, pianist","Composer, pianist",Munktell,/Helena/ Mathilda
AliceNordin,Q4970016,2018-03-08,Irja,Bergström,"Konstnär, skulptör","Artist, sculptor",Nordin,/Alice/ Maria
EllenMargitIngridNordin,Q4970041,2018-03-08,Maria,Sjöberg,"Gymnastiklärare, sjukgymnast, första kvinnan att åka Vasaloppet","Physical education instructor, physiotherapist, first woman to complete Vasaloppet",Nordin,Ellen /Margit/ Ingrid
IdaNorrby,Q4970301,2018-03-08,Gustav,Berry,"Hushållslärare, skolföreståndare","Domestic sciences teacher, schoolmaster",Norrby,/Ida/
