,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
3493,,,"Arborelius, Erik","Arborelius,-Erik","Arborelius, Erik",-1974,https://libris.kb.se/ljx1812429g0scf#it,Arken_only
3500,,,Arla Coldinuorden,arla-coldinuorden,Arla Coldinuorden,Gren av Coldinuorden belägen i Stockholm. Grundad 1765.,https://libris.kb.se/42gks0wn377xk1d#it,Arken_only
3505,,,"Aronowitsch, David William","Aronowitsch,-David-William","Aronowitsch, David William",1934-,ediffah:kb:981247:1429186903,Arken_only
3509,,,"Arpi, Emma Maria Malvina","Arpi,-Emma-Maria-Malvina","Arpi, Emma Maria Malvina",1833-1898,ediffah:kb:491318:1265983407,Arken_only
3511,,,"Arrhenius, Karl Georg","Arrhenius,-Karl-Georg","Arrhenius, Karl Georg",1906-1972,ediffah:kb:622315:1137574610,Arken_only
3513,,,"Arwidsson, Dagmar","Arwidsson,-Dagmar","Arwidsson, Dagmar",1871-1951,ediffah:kb:974589:1415976947,Arken_only
3517,,,"Asklund, Lis",asklund-lis,"Asklund, Lis",1913-2006,http://libris.kb.se/resource/auth/256791,Arken_only
3519,,,"Aspelin, Lars Johan","Aspelin,-Lars-Johan","Aspelin, Lars Johan",1786-1857,ediffah:kb:587676:1189788900,Arken_only
3520,,,"Asplund, Georg Henrik Adolf","Asplund,-Georg-Henrik-Adolf","Asplund, Georg Henrik Adolf",1807-1863,ediffah:kb:587676:1189788900,Arken_only
3526,,,"Aurell, Kathrine",aurell-kathrine,"Aurell, Kathrine",1901-1986,http://libris.kb.se/resource/auth/281417,Arken_only
3527,,,"Aurell, Kerstin","Aurell,-Kerstin","Aurell, Kerstin",1940-,ediffah:kb:126807:1500544007,Arken_only
3530,,,"Ax:son Johnson, Harry","Ax:son-Johnson,-Harry","Ax:son Johnson, Harry",1881-1939,ediffah:kb:162671:1374137948,Arken_only
3537,,,"Bagge, Lorenz Benjamin","Bagge,-Lorenz-Benjamin","Bagge, Lorenz Benjamin",1835-1916,ediffah:kb:521183:1133180860,Arken_only
