,person,qid,personLabel,refURL,href
66,http://www.wikidata.org/entity/Q16501988,Q16501988,Ingegerd Beskow,https://kulturpersoner.uppsalakyrkogardar.se/ingegerd-beskow/,ingegerd-beskow
67,http://www.wikidata.org/entity/Q30331245,Q30331245,Ingrid Årfelt-Svalander,https://kulturpersoner.uppsalakyrkogardar.se/ingrid-arfelt/,ingrid-arfelt
68,http://www.wikidata.org/entity/Q464768,Q464768,Jan Fridegård,https://kulturpersoner.uppsalakyrkogardar.se/jan-fridegard/,jan-fridegard
69,http://www.wikidata.org/entity/Q13534119,Q13534119,Jane Miller Thengberg,https://kulturpersoner.uppsalakyrkogardar.se/jane-miller-thengberg/,jane-miller-thengberg
70,http://www.wikidata.org/entity/Q5585755,Q5585755,Johan Bredman,https://kulturpersoner.uppsalakyrkogardar.se/johan-bredman,johan-bredman
71,http://www.wikidata.org/entity/Q99484881,Q99484881,Johan Fredrik Carlsson,https://kulturpersoner.uppsalakyrkogardar.se/johan-fredrik-carlsson,johan-fredrik-carlsson
72,http://www.wikidata.org/entity/Q6169365,Q6169365,Johan Henrik Schröder,https://kulturpersoner.uppsalakyrkogardar.se/johan-henrik-schroder/,johan-henrik-schroder
73,http://www.wikidata.org/entity/Q5564148,Q5564148,Johan von Bahr,https://kulturpersoner.uppsalakyrkogardar.se/johan-von-bahr/,johan-von-bahr
74,http://www.wikidata.org/entity/Q22338189,Q22338189,Johanna Ulrika Agnes Geijer,https://kulturpersoner.uppsalakyrkogardar.se/agnes-hamilton-f-geijer/,agnes-hamilton-f-geijer
75,http://www.wikidata.org/entity/Q17165450,Q17165450,Johanne Grieg Cederblad,https://kulturpersoner.uppsalakyrkogardar.se/johanne-grieg-cederblad/,johanne-grieg-cederblad
76,http://www.wikidata.org/entity/Q4936564,Q4936564,Karin Arosenius,https://kulturpersoner.uppsalakyrkogardar.se/karin-arosenius/,karin-arosenius
77,http://www.wikidata.org/entity/Q4990395,Q4990395,Karin Westman Berg,https://kulturpersoner.uppsalakyrkogardar.se/karin-westman-berg/,karin-westman-berg
78,http://www.wikidata.org/entity/Q5946236,Q5946236,Karl Gustaf Lennander,https://kulturpersoner.uppsalakyrkogardar.se/karl-gustaf-lennander/,karl-gustaf-lennander
79,http://www.wikidata.org/entity/Q920838,Q920838,Lars Erstrand,https://kulturpersoner.uppsalakyrkogardar.se/lars-erstrand/,lars-erstrand
80,http://www.wikidata.org/entity/Q3298109,Q3298109,Lasse Eriksson,https://kulturpersoner.uppsalakyrkogardar.se/lasse-eriksson/,lasse-eriksson
81,http://www.wikidata.org/entity/Q4959699,Q4959699,Lotten von Kræmer,https://kulturpersoner.uppsalakyrkogardar.se/lotten-von-kraemer/,lotten-von-kraemer
82,http://www.wikidata.org/entity/Q44974337,Q44974337,Louise Stjernstedt,https://kulturpersoner.uppsalakyrkogardar.se/louise-stiernstedt/,louise-stiernstedt
83,http://www.wikidata.org/entity/Q4940661,Q4940661,Maj Bring,https://kulturpersoner.uppsalakyrkogardar.se/maj-bring/,maj-bring
84,http://www.wikidata.org/entity/Q546949,Q546949,Malla Silfverstolpe,https://kulturpersoner.uppsalakyrkogardar.se/malla-silfverstolpe/,malla-silfverstolpe
85,http://www.wikidata.org/entity/Q5822410,Q5822410,Manne Ihran,https://kulturpersoner.uppsalakyrkogardar.se/manne-ihran/,manne-ihran
86,http://www.wikidata.org/entity/Q4976492,Q4976492,Margit Sahlin,https://kulturpersoner.uppsalakyrkogardar.se/margit-sahlin/,margit-sahlin
87,http://www.wikidata.org/entity/Q4978657,Q4978657,Mari Simmulson,https://kulturpersoner.uppsalakyrkogardar.se/mari-simmulson/,mari-simmulson
88,http://www.wikidata.org/entity/Q23988285,Q23988285,Maria Henschen,https://kulturpersoner.uppsalakyrkogardar.se/maria-henschen/,maria-henschen
89,http://www.wikidata.org/entity/Q29470060,Q29470060,Maria Magdalena Schenson,https://kulturpersoner.uppsalakyrkogardar.se/emma-schenson/,emma-schenson
90,http://www.wikidata.org/entity/Q99485175,Q99485175,Martin Edlund,https://kulturpersoner.uppsalakyrkogardar.se/martin-edlund/,martin-edlund
91,http://www.wikidata.org/entity/Q51800428,Q51800428,Mathilde Wigert-Österlund,https://kulturpersoner.uppsalakyrkogardar.se/mathilde-wigert-osterlund/,mathilde-wigert-osterlund
92,http://www.wikidata.org/entity/Q5715829,Q5715829,Moltas Erikson,https://kulturpersoner.uppsalakyrkogardar.se/jan-moltas-erikson/,jan-moltas-erikson
93,http://www.wikidata.org/entity/Q16650233,Q16650233,Måns von Rosenstein,https://kulturpersoner.uppsalakyrkogardar.se/mans-von-rosenstein/,mans-von-rosenstein
94,http://www.wikidata.org/entity/Q6060163,Q6060163,Nils Edvard Raab,https://kulturpersoner.uppsalakyrkogardar.se/edvard-raab/,edvard-raab
95,http://www.wikidata.org/entity/Q38304699,Q38304699,Nils Gunnar Sundgren,https://kulturpersoner.uppsalakyrkogardar.se/gunnar-sundgren/,gunnar-sundgren
96,http://www.wikidata.org/entity/Q5711545,Q5711545,Olof Eneroth,https://kulturpersoner.uppsalakyrkogardar.se/olof-eneroth/,olof-eneroth
97,http://www.wikidata.org/entity/Q6209881,Q6209881,Olof Thunman,https://kulturpersoner.uppsalakyrkogardar.se/olof-thunman/,olof-thunman
98,http://www.wikidata.org/entity/Q445867,Q445867,Olof Verelius,https://kulturpersoner.uppsalakyrkogardar.se/olof-verelius/,olof-verelius
99,http://www.wikidata.org/entity/Q6001924,Q6001924,Olof von Nackreij,https://kulturpersoner.uppsalakyrkogardar.se/olof-von-nackreij/,olof-von-nackreij
100,http://www.wikidata.org/entity/Q5560063,Q5560063,Oscar Arpi,https://kulturpersoner.uppsalakyrkogardar.se/oscar-arpi/,oscar-arpi
101,http://www.wikidata.org/entity/Q5744398,Q5744398,Otto von Friesen,https://kulturpersoner.uppsalakyrkogardar.se/otto-von-friesen/,otto-von-friesen
102,http://www.wikidata.org/entity/Q444538,Q444538,Per Daniel Amadeus Atterbom,https://kulturpersoner.uppsalakyrkogardar.se/per-daniel-amadeus-atterbom/,per-daniel-amadeus-atterbom
103,http://www.wikidata.org/entity/Q711658,Q711658,Pontus Wikner,https://kulturpersoner.uppsalakyrkogardar.se/pontus-wikner/,pontus-wikner
104,http://www.wikidata.org/entity/Q99485220,Q99485220,Ragni Kjellberg,https://kulturpersoner.uppsalakyrkogardar.se/ragni-kjellberg,ragni-kjellberg
105,http://www.wikidata.org/entity/Q5921477,Q5921477,Robert Fredrik von Kræmer,https://kulturpersoner.uppsalakyrkogardar.se/robert-von-kraemer/,robert-von-kraemer
106,http://www.wikidata.org/entity/Q5748272,Q5748272,Robin Fåhræus,https://kulturpersoner.uppsalakyrkogardar.se/robin-fahraeus/,robin-fahraeus
107,http://www.wikidata.org/entity/Q4970956,Q4970956,Rosalie Olivecrona,https://kulturpersoner.uppsalakyrkogardar.se/rosalie-olivecrona/,rosalie-olivecrona
108,http://www.wikidata.org/entity/Q99485357,Q99485357,Rune Hammarling,https://kulturpersoner.uppsalakyrkogardar.se/rune-hammarling/,rune-hammarling
109,http://www.wikidata.org/entity/Q919826,Q919826,Rutger Sernander,https://kulturpersoner.uppsalakyrkogardar.se/rutger-sernander/,rutger-sernander
110,http://www.wikidata.org/entity/Q38772992,Q38772992,Sixtus Janson,https://kulturpersoner.uppsalakyrkogardar.se/sixtus-janson/,sixtus-janson
111,http://www.wikidata.org/entity/Q19844789,Q19844789,Sonja Lyttkens,https://kulturpersoner.uppsalakyrkogardar.se/sonja-lyttkens/,sonja-lyttkens
112,http://www.wikidata.org/entity/Q80956,Q80956,Svante Arrhenius,https://kulturpersoner.uppsalakyrkogardar.se/svante-arrhenius/,svante-arrhenius
113,http://www.wikidata.org/entity/Q99485352,Q99485352,Sven Anders Hägg,https://kulturpersoner.uppsalakyrkogardar.se/sven-anders-hagg/,sven-anders-hagg
114,http://www.wikidata.org/entity/Q5951505,Q5951505,Sven Lilja,https://kulturpersoner.uppsalakyrkogardar.se/sven-lilja/,sven-lilja
115,http://www.wikidata.org/entity/Q4959294,Q4959294,Thekla Knös,https://kulturpersoner.uppsalakyrkogardar.se/thekla-knos/,thekla-knos
116,http://www.wikidata.org/entity/Q5978552,Q5978552,Topper Martyn,https://kulturpersoner.uppsalakyrkogardar.se/topper-martyn/,topper-martyn
117,http://www.wikidata.org/entity/Q5795469,Q5795469,Tycho Hedén,https://kulturpersoner.uppsalakyrkogardar.se/tycho-heden/,tycho-heden
118,http://www.wikidata.org/entity/Q4948950,Q4948950,Ulla-Bella Fridh,https://kulturpersoner.uppsalakyrkogardar.se/ulla-bella-fridh-gabrielsson/,ulla-bella-fridh-gabrielsson
119,http://www.wikidata.org/entity/Q943803,Q943803,Uno von Troil,https://kulturpersoner.uppsalakyrkogardar.se/uno-von-troil/,uno-von-troil
120,http://www.wikidata.org/entity/Q6043915,Q6043915,Viktor Persson,https://kulturpersoner.uppsalakyrkogardar.se/viktor-persson/,viktor-persson
121,http://www.wikidata.org/entity/Q4983741,Q4983741,Vivi Laurent-Täckholm,https://kulturpersoner.uppsalakyrkogardar.se/vivi-tackholm/,vivi-tackholm
122,http://www.wikidata.org/entity/Q6197251,Q6197251,Yngve Svalander,https://kulturpersoner.uppsalakyrkogardar.se/yngve-svalander/,yngve-svalander
123,http://www.wikidata.org/entity/Q13390628,Q13390628,Åke Holm,https://kulturpersoner.uppsalakyrkogardar.se/ake-holm/,ake-holm
